Series Name,"Series Code","Country Name","Country Code","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Aruba","ABW","","","","","","","","","","","","39.6500015258789","","","","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Afghanistan","AFG","","","","","","","","","","","","","","","","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Angola","AGO","","","","","","","","","","","","","","","","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Albania","ALB","","","","","","49.4300003051758","45.6599998474121","","","","","","","","","36.9799995422363","28.8199996948242","19.7099990844727","20.5499992370605","22.6499996185303",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Andorra","AND","","","","","","","","","","","","","","","","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Arab World","ARB","","","","","","","","","","","","","","","","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","United Arab Emirates","ARE","","","","","","","","","","28.4099998474121","","","30.0799999237061","","","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Argentina","ARG","","","","","35.7999992370605","","","36.7000007629395","38.5999984741211","36.5099983215332","38.439998626709","","34.9119987487793","33.2999992370605","30.8500003814697","31.1800003051758","32.2599983215332","32.0999984741211","29.5799999237061","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Armenia","ARM","","26.5599994659424","","","","47.5999984741211","","","","","","","31.7099990844727","","","31.4300003051758","29.5200004577637","32.689998626709","33.0499992370605","35.5699996948242",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","American Samoa","ASM","","","","","","","","","","","","","","","","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Antigua and Barbuda","ATG","","","","","","46.2799987792969","","","","","","","","","","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Australia","AUS","69.4800033569336","67.5199966430664","67.6100006103516","67.9700012207031","68.4499969482422","69.0599975585938","68.2200012207031","69.0100021362305","69.0699996948242","69.5699996948242","69.4899978637695","69.6900024414063","69.4700012207031","67.7300033569336","67.1900024414063","67.4700012207031","66.7699966430664","66.2399978637695","66.2200012207031","66.7200012207031","66.379997253418"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Austria","AUT","56.3800010681152","55.4500007629395","55.5","54.1699981689453","51.4900016784668","50.1500015258789","51.0099983215332","49.7400016784668","51.2200012207031","54.0999984741211","54.0699996948242","56.0200004577637","56.1599998474121","56.189998626709","53.9900016784668","54.810001373291","55.3800010681152","55.2900009155273","55.3600006103516","54.1399993896484",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Azerbaijan","AZE","","","","49.4000015258789","","","","","","","","39.3800010681152","35.0299987792969","37.7799987792969","41.6699981689453","32.2400016784668","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Burundi","BDI","","","","","","","","","","","","","54.0299987792969","","","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Belgium","BEL","29.8899993896484","29.3199996948242","29.4099998474121","30.1200008392334","32.6399993896484","29.9599990844727","30.2399997711182","28.8099994659424","32.1599998474121","32.3300018310547","31.9300003051758","31.5599994659424","30.7800006866455","29.9300003051758","29.7700004577637","29.7800006866455","27.9099998474121","28.2399997711182","28.0799999237061","27.1200008392334",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Benin","BEN","","","","","","52.25","58.6599998474121","","","","","","","","44.939998626709","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Burkina Faso","BFA","","","","","","","","","","","57.7400016784668","","","","","","","","","",""
"Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","Bangladesh","BGD","53.25","","","","52.4799995422363","","","32.3300018310547","","22.3400001525879","","","","","","","","","","",""
