,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
AFGHANISTAN,AFG,-1.85,0.56,1.00,0.49,0.00,17.48,-1.84,0.51,1.00,0.49,0.00,14.08,-1.91,0.50,1.00,0.00,0.00,7.77,-1.43,0.47,1.00,0.49,0.00,34.47,-1.55,0.31,2.00,1.95,0.00,11.17,-1.42,0.24,4.00,3.90,0.00,13.11,-1.46,0.22,4.00,1.46,0.00,14.08,-1.42,0.23,6.00,3.90,0.00,12.62,-1.59,0.26,5.00,1.46,0.00,8.70,-1.64,0.25,6.00,0.97,0.00,5.80,-1.52,0.22,7.00,0.96,0.00,9.05,-1.63,0.21,8.00,0.95,0.00,5.21,-1.55,0.20,8.00,1.42,0.00,7.55,-1.40,0.20,9.00,2.37,0.00,13.21,-1.43,0.17,10.00,1.90,0.00,11.32,-1.33,0.17,10.00,6.25,0.96,13.88,-1.34,0.17,10.00,4.81,1.91,11.96
ALBANIA,ALB,-1.09,0.47,2.00,11.71,0.49,43.20,-1.01,0.28,4.00,13.66,2.43,35.44,-0.82,0.25,5.00,21.95,5.34,41.26,-0.86,0.23,5.00,25.85,3.88,38.35,-0.77,0.18,6.00,25.85,10.68,40.29,-0.67,0.17,8.00,27.32,16.02,44.17,-0.74,0.15,9.00,26.34,15.53,38.35,-0.82,0.16,11.00,21.95,10.68,34.95,-0.68,0.15,11.00,28.64,17.39,40.10,-0.55,0.14,11.00,35.44,23.19,46.86,-0.49,0.15,11.00,37.80,25.24,51.43,-0.49,0.14,11.00,36.67,27.49,49.76,-0.65,0.13,12.00,28.44,20.28,40.09,-0.70,0.13,13.00,26.54,19.34,38.21,-0.70,0.13,12.00,25.59,18.40,38.21,-0.55,0.14,11.00,35.58,24.88,47.37,-0.44,0.13,11.00,40.38,29.19,51.20
ALGERIA,DZA,-0.48,0.30,3.00,33.17,16.50,60.68,-0.97,0.20,5.00,15.12,3.88,31.55,-0.95,0.24,5.00,14.15,4.37,32.52,-0.94,0.19,5.00,21.46,3.40,34.47,-0.67,0.19,7.00,30.24,14.08,45.63,-0.63,0.18,9.00,28.29,16.99,47.09,-0.42,0.18,9.00,41.46,28.64,51.94,-0.48,0.16,10.00,38.05,25.73,50.97,-0.51,0.16,11.00,36.89,21.74,50.72,-0.56,0.16,11.00,33.98,21.26,47.83,-0.55,0.18,11.00,34.45,21.90,50.95,-0.49,0.17,11.00,37.14,23.22,53.08,-0.50,0.16,12.00,37.44,23.11,52.83,-0.47,0.16,13.00,39.34,25.47,53.30,-0.47,0.16,13.00,39.34,25.00,52.83,-0.62,0.16,12.00,31.73,19.62,46.41,-0.68,0.15,11.00,28.37,16.27,42.11
AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.78,0.39,1.00,77.07,59.71,91.75,0.80,0.32,1.00,77.56,63.11,89.32,0.33,0.42,1.00,67.32,43.20,81.07,0.34,0.41,1.00,68.93,45.41,81.64,0.36,0.40,1.00,67.96,46.86,81.64,0.38,0.42,1.00,70.33,47.62,82.86,0.37,0.43,1.00,68.10,46.45,82.94,0.36,0.40,1.00,68.25,46.70,80.19,0.36,0.42,1.00,67.77,47.64,81.60,0.36,0.43,1.00,65.88,47.64,81.13,1.25,0.42,1.00,87.02,70.33,95.22,1.25,0.42,1.00,86.54,70.33,95.22
ANDORRA,ADO,1.36,0.56,1.00,89.27,70.39,98.06,1.38,0.51,1.00,90.73,70.39,95.15,1.38,0.50,1.00,89.76,72.33,95.15,1.30,0.47,1.00,89.27,70.87,94.17,1.32,0.38,1.00,89.27,75.24,94.17,1.10,0.39,1.00,83.90,70.39,91.75,1.27,0.32,1.00,88.29,73.79,92.72,1.28,0.42,1.00,88.78,72.33,94.66,1.30,0.41,1.00,89.32,73.43,94.20,1.32,0.40,1.00,89.81,73.91,94.69,1.35,0.42,1.00,88.52,72.86,95.24,1.33,0.43,1.00,88.10,72.04,94.79,1.31,0.40,1.00,88.15,72.64,94.81,1.30,0.42,1.00,87.20,72.17,95.28,1.30,0.43,1.00,87.20,71.23,95.75,1.25,0.42,1.00,87.02,70.33,95.22,1.25,0.42,1.00,86.54,70.33,95.22
ANGOLA,AGO,-1.16,0.30,3.00,7.32,2.43,27.67,-1.32,0.20,5.00,2.44,2.43,14.56,-1.52,0.24,5.00,2.44,0.00,7.28,-1.14,0.19,5.00,7.80,0.49,27.18,-1.30,0.19,7.00,4.88,1.46,13.11,-1.28,0.18,9.00,7.32,1.46,15.53,-1.33,0.19,8.00,6.34,0.97,15.05,-1.18,0.18,10.00,9.76,3.40,18.93,-1.29,0.20,9.00,6.31,1.45,15.46,-1.28,0.20,10.00,4.85,1.93,16.91,-1.42,0.18,11.00,2.39,0.48,10.00,-1.32,0.17,12.00,3.81,1.42,14.69,-1.34,0.16,12.00,4.27,1.42,13.68,-1.29,0.17,11.00,5.21,0.47,16.98,-1.33,0.16,12.00,4.27,0.47,13.21,-1.45,0.16,11.00,3.37,0.48,10.05,-1.40,0.16,9.00,3.85,1.44,11.00
ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.83,0.39,1.00,78.05,60.68,91.75,1.27,0.32,1.00,88.29,73.79,92.72,1.28,0.42,1.00,88.78,72.33,94.66,1.30,0.41,1.00,89.32,73.43,94.20,1.32,0.40,1.00,89.81,73.91,94.69,1.35,0.42,1.00,88.52,72.86,95.24,1.33,0.43,1.00,88.10,72.04,94.79,1.31,0.40,1.00,88.15,72.64,94.81,1.30,0.42,1.00,87.20,72.17,95.28,1.30,0.43,1.00,87.20,71.23,95.75,1.25,0.42,1.00,87.02,70.33,95.22,1.25,0.42,1.00,86.54,70.33,95.22
ANTIGUA AND BARBUDA,ATG,0.90,0.56,1.00,82.44,60.68,93.20,0.92,0.51,1.00,82.44,61.65,92.72,0.91,0.50,1.00,82.93,62.62,92.72,0.85,0.47,1.00,81.95,61.17,91.75,0.83,0.38,1.00,79.51,61.17,91.26,0.84,0.37,2.00,78.54,61.65,91.75,0.76,0.31,2.00,74.15,62.14,84.47,1.14,0.39,2.00,84.88,70.87,92.23,1.18,0.39,2.00,85.44,72.95,93.24,1.32,0.40,1.00,89.81,73.91,94.69,1.35,0.42,1.00,88.52,72.86,95.24,1.33,0.43,1.00,88.10,72.04,94.79,1.31,0.40,1.00,88.15,72.64,94.81,1.30,0.42,1.00,87.20,72.17,95.28,1.30,0.43,1.00,87.20,71.23,95.75,0.68,0.42,1.00,74.04,56.94,89.95,0.67,0.42,1.00,74.52,58.37,89.47
ARGENTINA,ARG,-0.21,0.23,5.00,49.76,29.13,62.62,-0.18,0.18,6.00,52.68,38.83,62.14,-0.34,0.21,6.00,46.83,28.16,59.22,-0.51,0.17,7.00,36.59,28.64,50.00,-0.52,0.17,8.00,39.51,23.30,49.51,-0.45,0.16,10.00,40.49,25.73,50.49,-0.43,0.16,10.00,40.98,29.61,51.94,-0.37,0.15,13.00,42.44,32.04,54.37,-0.37,0.15,13.00,41.26,31.40,54.59,-0.47,0.15,13.00,38.83,27.05,49.76,-0.50,0.15,15.00,37.32,24.29,50.95,-0.41,0.16,15.00,42.38,28.91,54.50,-0.40,0.15,16.00,41.71,28.77,56.13,-0.49,0.14,16.00,38.39,25.47,50.94,-0.46,0.14,15.00,39.81,25.94,51.89,-0.58,0.14,14.00,33.17,22.01,46.41,-0.59,0.13,14.00,32.69,20.57,45.93
ARMENIA,ARM,-0.47,0.56,1.00,36.10,5.34,67.48,-0.74,0.28,4.00,26.83,5.83,44.17,-0.65,0.25,5.00,30.24,8.25,51.46,-0.65,0.23,5.00,34.15,12.62,48.06,-0.55,0.18,6.00,36.10,18.93,48.54,-0.61,0.17,7.00,29.27,17.48,47.09,-0.63,0.16,8.00,32.20,18.93,44.66,-0.59,0.16,12.00,34.15,20.87,44.66,-0.68,0.16,12.00,29.13,17.39,40.10,-0.63,0.14,13.00,31.55,18.84,42.03,-0.56,0.15,13.00,33.49,23.33,47.62,-0.65,0.14,13.00,30.48,19.43,42.18,-0.60,0.14,13.00,32.23,21.23,44.81,-0.52,0.13,14.00,37.44,25.47,48.11,-0.46,0.14,13.00,40.28,25.94,51.89,-0.44,0.15,13.00,40.38,28.71,51.67,-0.45,0.14,13.00,38.94,27.75,51.20
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.15,0.39,1.00,85.37,71.36,91.75,1.27,0.32,1.00,88.29,73.79,92.72,1.28,0.42,1.00,88.78,72.33,94.66,1.30,0.41,1.00,89.32,73.43,94.20,1.32,0.40,1.00,89.81,73.91,94.69,1.11,0.29,2.00,84.21,72.86,90.95,1.13,0.29,2.00,84.29,72.99,91.94,1.12,0.28,2.00,83.89,72.64,91.98,1.12,0.30,2.00,82.94,72.17,91.51,1.14,0.30,2.00,82.94,72.17,91.51,1.03,0.31,2.00,81.25,69.86,90.91,1.31,0.29,2.00,89.42,77.03,92.82
