,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
AFGHANISTAN,AFG,#REF!,0.31,1.00,0.00,0.00,2.43,-2.24,0.34,1.00,0.00,0.00,2.91,-2.32,0.37,1.00,0.00,0.00,2.91,-1.64,0.28,2.00,1.95,0.00,9.22,-1.18,0.32,2.00,9.27,1.46,28.16,-0.88,0.24,4.00,17.07,7.28,36.89,-1.23,0.23,4.00,9.76,2.43,21.84,-1.47,0.24,6.00,4.88,0.49,14.08,-1.43,0.30,5.00,5.34,0.97,16.43,-1.51,0.26,6.00,3.88,0.97,13.04,-1.50,0.24,7.00,3.83,0.48,10.95,-1.47,0.23,7.00,4.31,0.95,13.81,-1.46,0.23,7.00,4.74,1.42,14.15,-1.38,0.22,8.00,6.64,0.94,15.09,-1.40,0.22,8.00,7.11,0.94,15.09,-1.34,0.23,8.00,7.69,1.91,16.75,-1.34,0.23,8.00,8.17,1.91,16.75
ALBANIA,ALB,-0.80,0.29,2.00,22.44,6.80,43.69,-0.69,0.25,3.00,24.88,11.17,46.12,-0.83,0.25,4.00,20.00,7.77,40.78,-0.57,0.23,5.00,32.68,15.53,48.54,-0.61,0.24,5.00,31.71,14.08,49.03,-0.44,0.24,6.00,40.49,19.42,56.80,-0.62,0.20,7.00,31.22,16.99,45.15,-0.46,0.19,9.00,38.05,25.73,50.97,-0.39,0.20,9.00,42.23,26.09,52.17,-0.35,0.20,9.00,44.17,28.99,55.56,-0.24,0.20,9.00,48.33,36.67,57.62,-0.27,0.20,9.00,45.45,32.38,57.14,-0.20,0.20,9.00,47.87,37.26,60.38,-0.27,0.20,10.00,45.97,32.08,58.49,-0.32,0.19,10.00,44.55,31.60,55.19,-0.07,0.21,9.00,51.44,37.32,63.64,0.03,0.22,9.00,54.81,43.06,66.99
ALGERIA,DZA,-0.95,0.25,3.00,15.61,5.83,32.52,-0.81,0.20,5.00,20.49,10.19,34.95,-0.96,0.21,5.00,14.15,6.80,30.10,-0.61,0.19,6.00,30.73,17.48,45.15,-0.61,0.17,7.00,30.73,17.48,43.69,-0.52,0.17,8.00,35.12,20.87,48.06,-0.43,0.17,8.00,39.02,27.18,50.49,-0.47,0.17,10.00,37.56,26.70,50.00,-0.56,0.19,10.00,32.52,19.32,46.38,-0.61,0.19,9.00,32.52,16.91,45.89,-0.58,0.19,9.00,35.89,20.48,47.62,-0.48,0.19,9.00,38.76,24.29,49.52,-0.57,0.19,10.00,35.07,18.40,45.75,-0.54,0.19,10.00,34.60,22.17,47.17,-0.54,0.17,11.00,35.07,22.64,46.70,-0.48,0.19,11.00,35.58,21.53,45.93,-0.51,0.18,11.00,35.10,21.05,46.41
AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.20,0.42,1.00,49.27,16.02,71.36,0.19,0.32,1.00,61.95,44.17,72.33,0.20,0.41,1.00,62.44,36.89,77.67,0.46,0.47,1.00,67.96,45.41,84.06,0.48,0.45,1.00,68.45,45.89,85.02,0.49,0.42,1.00,68.90,49.05,84.29,0.49,0.44,1.00,68.90,46.67,84.29,0.48,0.42,1.00,67.30,47.64,83.49,0.49,0.39,1.00,67.77,49.06,83.02,0.49,0.37,1.00,69.19,49.53,82.08,0.42,0.46,1.00,70.19,42.11,85.65,0.47,0.44,1.00,70.19,44.50,85.17
ANDORRA,ADO,1.44,0.31,1.00,89.76,81.07,97.09,1.43,0.34,1.00,89.27,79.13,96.12,1.41,0.37,1.00,89.27,79.13,97.57,1.37,0.32,1.00,88.78,78.64,94.66,1.30,0.38,1.00,89.27,73.30,95.63,1.40,0.42,1.00,89.27,75.24,96.60,1.25,0.32,1.00,87.80,73.79,95.63,1.52,0.41,1.00,89.27,76.70,99.51,1.50,0.47,1.00,90.29,76.81,99.03,1.53,0.45,1.00,90.78,77.29,99.52,1.52,0.42,1.00,91.87,75.71,98.57,1.51,0.44,1.00,89.95,75.24,99.05,1.50,0.42,1.00,90.52,75.47,99.53,1.53,0.39,1.00,91.47,76.42,99.53,1.54,0.37,1.00,92.42,78.30,99.53,1.68,0.46,1.00,93.75,77.51,100.00,1.75,0.44,1.00,94.71,80.38,100.00
ANGOLA,AGO,-0.84,0.25,3.00,20.49,7.28,36.89,-1.36,0.20,5.00,5.37,2.91,14.08,-1.46,0.21,5.00,3.41,2.91,10.19,-1.25,0.19,6.00,8.29,4.37,15.53,-1.14,0.17,7.00,10.24,5.34,19.42,-1.28,0.17,8.00,6.83,4.85,12.62,-1.17,0.19,7.00,11.22,4.37,21.84,-1.35,0.18,9.00,5.85,2.43,14.08,-1.23,0.21,8.00,9.71,3.38,17.39,-1.07,0.20,8.00,13.11,5.31,25.12,-0.97,0.20,9.00,16.27,7.14,30.48,-1.13,0.19,10.00,11.96,5.24,22.86,-1.15,0.18,10.00,10.90,5.19,20.75,-1.00,0.20,9.00,15.17,7.55,29.72,-1.22,0.17,11.00,9.95,5.19,17.45,-1.13,0.18,11.00,12.98,7.18,18.66,-1.01,0.18,10.00,15.38,8.61,24.88
ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.97,0.42,1.00,80.98,66.50,91.26,1.52,0.32,1.00,90.24,81.55,99.03,1.52,0.41,1.00,89.27,76.70,99.51,1.50,0.47,1.00,90.29,76.81,99.03,1.53,0.45,1.00,90.78,77.29,99.52,1.52,0.42,1.00,91.87,75.71,98.57,1.51,0.44,1.00,89.95,75.24,99.05,1.50,0.42,1.00,90.52,75.47,99.53,1.53,0.39,1.00,91.47,76.42,99.53,1.54,0.37,1.00,92.42,78.30,99.53,0.92,0.46,1.00,77.40,60.77,93.30,0.98,0.44,1.00,78.85,64.11,92.82
ANTIGUA AND BARBUDA,ATG,0.65,0.31,1.00,75.61,59.71,84.95,0.65,0.34,1.00,75.61,59.22,87.38,0.61,0.37,1.00,74.15,56.31,87.38,0.56,0.32,1.00,71.71,58.25,83.98,0.52,0.38,1.00,70.24,53.88,83.98,0.45,0.38,2.00,68.78,50.49,82.52,0.41,0.31,2.00,65.37,52.91,77.67,0.38,0.38,2.00,65.37,45.63,81.55,0.38,0.44,2.00,66.02,44.44,82.61,0.48,0.45,1.00,68.45,45.89,85.02,0.49,0.42,1.00,68.90,49.05,84.29,0.49,0.44,1.00,68.90,46.67,84.29,0.48,0.42,1.00,67.30,47.64,83.49,0.49,0.39,1.00,67.77,49.06,83.02,0.49,0.37,1.00,69.19,49.53,82.08,-0.09,0.46,1.00,49.52,18.18,72.73,0.21,0.44,1.00,61.06,34.45,76.56
ARGENTINA,ARG,0.27,0.23,6.00,62.44,53.40,73.30,0.38,0.19,6.00,67.80,57.77,76.21,0.06,0.19,6.00,58.54,45.63,66.99,-0.26,0.17,8.00,46.83,33.50,58.25,0.00,0.17,8.00,58.54,45.63,65.05,-0.02,0.17,9.00,58.05,47.09,66.50,-0.09,0.17,9.00,53.66,42.72,60.68,0.01,0.17,11.00,55.61,45.63,65.05,0.00,0.19,11.00,53.88,45.41,64.25,-0.13,0.20,10.00,50.49,40.58,60.39,-0.32,0.18,11.00,45.93,31.90,55.71,-0.18,0.19,11.00,48.33,38.10,59.52,-0.14,0.19,11.00,49.29,41.04,60.85,-0.25,0.19,11.00,46.92,33.02,58.49,-0.30,0.19,11.00,45.97,32.55,55.66,-0.18,0.19,11.00,45.67,33.49,59.81,-0.09,0.20,11.00,49.52,40.19,62.68
ARMENIA,ARM,-0.41,0.31,1.00,40.00,17.48,59.22,-0.54,0.25,3.00,31.71,15.05,50.97,-0.57,0.25,4.00,31.71,12.62,50.00,-0.17,0.23,5.00,49.76,33.50,62.14,-0.26,0.24,5.00,47.80,28.16,61.17,-0.14,0.24,6.00,52.20,33.98,66.02,-0.13,0.20,7.00,51.71,38.35,60.68,-0.22,0.17,10.00,47.32,35.92,56.31,-0.36,0.19,10.00,44.17,28.02,52.17,-0.17,0.20,10.00,49.03,38.16,58.94,-0.02,0.20,10.00,55.50,45.71,64.29,-0.17,0.20,10.00,49.28,38.57,60.48,-0.10,0.20,10.00,51.66,41.98,61.79,-0.02,0.19,11.00,54.98,44.34,62.74,0.09,0.19,11.00,58.29,46.70,65.57,-0.17,0.20,11.00,46.15,33.97,60.77,-0.14,0.20,11.00,48.56,38.28,60.29
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.19,0.42,1.00,87.32,70.39,92.72,1.25,0.32,1.00,87.80,73.79,95.63,1.25,0.41,1.00,87.32,70.87,97.57,1.24,0.47,1.00,85.92,68.60,97.58,1.27,0.45,1.00,86.41,70.05,98.07,1.47,0.32,2.00,89.00,77.62,98.10,1.23,0.33,2.00,85.65,72.38,95.71,1.22,0.32,2.00,84.83,72.17,95.28,1.24,0.31,2.00,85.31,72.64,94.81,1.22,0.29,2.00,84.83,72.64,94.81,0.86,0.35,2.00,75.00,63.64,89.00,0.86,0.33,2.00,76.44,65.55,87.56
