,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
AFGHANISTAN,AFG,-2.54,0.48,2.00,1.45,0.00,6.25,-2.56,0.44,2.00,0.48,0.00,6.25,-2.56,0.46,2.00,0.48,0.00,5.77,-2.21,0.44,2.00,1.45,0.00,12.02,-2.26,0.36,2.00,1.93,0.00,5.77,-2.30,0.31,4.00,1.93,0.96,4.81,-2.08,0.31,4.00,2.42,0.96,6.73,-2.23,0.29,4.00,1.45,0.96,7.21,-2.39,0.32,3.00,1.45,0.48,5.77,-2.68,0.32,3.00,0.48,0.48,2.39,-2.70,0.29,4.00,0.47,0.47,2.36,-2.54,0.28,4.00,1.42,0.47,3.77,-2.48,0.27,4.00,1.42,0.47,2.83,-2.39,0.25,5.00,1.90,0.47,4.25,-2.50,0.24,6.00,1.42,0.00,3.77,-2.42,0.21,6.00,2.86,0.00,5.69,-2.50,0.21,6.00,1.43,0.47,4.74
ALBANIA,ALB,-0.43,0.43,3.00,31.40,14.90,54.81,-0.66,0.38,3.00,25.12,11.54,43.75,-0.65,0.40,3.00,26.57,12.50,45.67,-0.39,0.40,3.00,30.92,18.75,54.33,-0.33,0.33,3.00,34.78,21.15,51.44,-0.45,0.32,4.00,29.47,19.23,48.08,-0.49,0.30,5.00,29.47,18.27,46.15,-0.48,0.27,6.00,29.95,18.75,43.75,-0.20,0.26,6.00,37.68,25.00,52.88,-0.03,0.26,6.00,42.79,30.14,57.89,-0.05,0.26,6.00,42.65,29.72,57.55,-0.19,0.26,6.00,39.34,26.42,53.30,-0.29,0.25,7.00,38.39,25.00,50.47,-0.16,0.22,8.00,40.28,29.25,53.30,0.05,0.23,8.00,48.82,36.79,61.32,0.45,0.20,8.00,60.48,51.18,72.99,0.36,0.20,8.00,58.57,49.76,67.77
ALGERIA,DZA,-1.86,0.36,4.00,4.35,2.40,11.06,-1.96,0.33,4.00,4.83,0.96,10.10,-1.50,0.33,4.00,9.18,2.88,19.23,-1.69,0.31,4.00,6.76,1.92,16.35,-1.78,0.29,5.00,5.31,2.40,12.98,-1.37,0.28,6.00,10.63,4.81,19.71,-0.93,0.28,6.00,20.77,10.10,31.73,-1.12,0.25,7.00,15.94,8.65,25.48,-1.12,0.24,7.00,14.49,9.13,23.56,-1.09,0.24,7.00,14.90,9.57,23.44,-1.22,0.24,7.00,13.27,8.02,20.28,-1.26,0.24,7.00,11.37,5.19,20.75,-1.36,0.24,7.00,10.43,5.66,18.40,-1.32,0.23,7.00,9.95,5.66,18.87,-1.18,0.23,7.00,12.32,8.02,20.28,-1.17,0.20,7.00,10.48,8.53,18.96,-1.05,0.20,7.00,13.33,8.53,22.27
AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.77,0.44,1.00,73.91,47.12,99.04,0.78,0.46,1.00,69.08,46.15,99.52,0.75,0.44,1.00,69.57,46.63,99.52,1.00,0.41,1.00,83.09,55.29,100.00,1.02,0.40,1.00,82.69,56.94,100.00,0.97,0.37,1.00,83.89,57.08,100.00,0.94,0.41,1.00,81.04,54.72,99.53,0.97,0.43,1.00,79.62,55.19,99.53,0.99,0.37,1.00,80.09,59.91,99.53,0.97,0.41,1.00,80.09,58.02,99.53,1.11,0.31,1.00,89.52,65.88,99.53,1.21,0.33,1.00,92.86,67.30,99.53
ANDORRA,ADO,1.10,0.61,1.00,85.99,48.08,100.00,1.11,0.58,1.00,87.44,50.48,100.00,1.10,0.59,1.00,84.54,50.96,100.00,1.21,0.52,1.00,94.20,57.69,100.00,1.46,0.36,2.00,98.55,77.88,100.00,1.43,0.38,2.00,98.07,74.04,100.00,1.41,0.40,2.00,98.55,68.27,100.00,1.40,0.39,2.00,99.03,69.71,100.00,1.38,0.37,2.00,98.55,73.08,100.00,1.37,0.36,2.00,99.04,71.77,100.00,1.32,0.34,2.00,94.31,72.17,100.00,1.30,0.37,2.00,93.36,70.75,100.00,1.33,0.37,2.00,96.68,69.81,100.00,1.32,0.33,2.00,95.73,71.23,99.53,1.32,0.36,2.00,94.31,68.87,99.53,1.32,0.31,1.00,96.67,73.93,99.53,1.44,0.33,1.00,98.10,75.83,100.00
ANGOLA,AGO,-2.10,0.36,4.00,3.38,0.48,8.65,-2.34,0.33,4.00,1.45,0.48,6.25,-2.08,0.33,4.00,1.93,0.00,8.65,-1.61,0.31,4.00,9.18,1.92,17.79,-1.03,0.29,5.00,19.32,9.62,28.37,-1.04,0.28,6.00,17.87,7.21,26.44,-0.89,0.29,5.00,21.26,10.58,35.10,-0.54,0.27,6.00,28.99,17.79,42.31,-0.70,0.27,5.00,23.67,14.42,36.54,-0.35,0.27,5.00,31.73,19.62,48.80,-0.37,0.25,6.00,31.75,20.75,46.70,-0.22,0.24,7.00,37.44,26.42,51.89,-0.36,0.24,7.00,35.55,22.64,49.06,-0.38,0.24,6.00,35.55,22.17,45.28,-0.39,0.23,7.00,34.12,21.70,46.70,-0.35,0.20,7.00,32.86,23.22,45.50,-0.59,0.21,6.00,25.24,16.11,36.49
ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.82,0.44,1.00,74.88,49.04,99.52,1.23,0.38,2.00,91.30,65.87,100.00,1.16,0.37,2.00,90.82,62.98,100.00,1.15,0.35,2.00,91.79,66.83,100.00,1.16,0.34,2.00,91.83,67.46,100.00,0.92,0.34,2.00,81.99,57.08,99.06,1.43,0.35,2.00,95.26,76.42,100.00,1.60,0.34,2.00,99.53,82.55,100.00,1.53,0.31,2.00,99.53,83.02,100.00,1.59,0.33,2.00,99.53,84.43,100.00,1.23,0.27,2.00,94.29,72.99,99.53,1.32,0.29,2.00,96.19,73.93,99.53
ANTIGUA AND BARBUDA,ATG,0.64,0.61,1.00,66.18,34.62,100.00,0.65,0.58,1.00,67.15,32.21,100.00,0.64,0.59,1.00,67.15,34.62,99.04,0.72,0.52,1.00,69.08,41.83,99.52,0.85,0.36,2.00,75.85,53.85,97.60,1.15,0.34,3.00,89.37,64.90,100.00,0.85,0.35,3.00,73.91,55.77,99.04,0.84,0.34,3.00,73.43,54.33,99.04,0.83,0.32,3.00,76.81,54.81,96.63,0.84,0.32,3.00,75.96,55.02,97.13,0.75,0.32,3.00,71.09,51.42,91.98,0.93,0.33,3.00,80.09,57.08,96.70,0.98,0.31,3.00,80.57,62.26,98.58,0.99,0.29,3.00,81.04,63.21,99.06,0.98,0.30,3.00,81.04,63.21,98.58,1.01,0.24,3.00,84.29,65.88,98.10,1.07,0.26,3.00,88.57,66.35,98.58
ARGENTINA,ARG,0.02,0.36,4.00,46.86,26.44,64.42,-0.18,0.33,4.00,38.65,23.08,58.65,0.05,0.30,5.00,47.83,31.25,65.38,-0.86,0.28,6.00,20.77,13.94,30.29,-0.38,0.28,6.00,33.82,22.60,47.12,-0.57,0.28,7.00,26.57,18.27,40.38,-0.01,0.27,7.00,45.89,32.21,59.62,0.02,0.24,8.00,46.38,33.17,58.65,0.12,0.24,8.00,47.34,36.06,62.02,-0.07,0.24,8.00,41.35,30.14,55.50,-0.24,0.24,8.00,36.97,25.00,50.47,-0.09,0.24,8.00,42.65,29.72,55.66,0.14,0.24,9.00,51.18,39.15,63.68,0.08,0.22,9.00,48.82,37.74,60.85,0.05,0.22,9.00,47.87,36.79,61.32,-0.01,0.19,9.00,46.19,34.12,57.82,-0.07,0.20,9.00,44.76,34.12,55.92
ARMENIA,ARM,-0.52,0.48,2.00,28.50,10.58,54.81,-0.76,0.38,3.00,22.22,10.58,39.42,-0.80,0.40,3.00,22.22,9.62,38.94,-0.36,0.40,3.00,32.85,18.75,56.73,0.20,0.33,3.00,49.76,34.13,70.19,-0.12,0.32,4.00,40.10,25.00,60.58,-0.06,0.30,5.00,43.48,28.85,59.62,-0.28,0.27,6.00,35.75,25.48,51.92,0.11,0.26,6.00,46.86,33.65,63.94,-0.02,0.26,6.00,43.75,30.14,58.85,0.23,0.26,6.00,51.66,38.21,69.34,0.03,0.26,6.00,47.87,32.55,61.79,-0.09,0.25,6.00,42.65,30.19,58.02,0.11,0.23,7.00,50.71,38.21,62.74,0.07,0.23,7.00,49.76,36.79,61.79,-0.30,0.20,7.00,34.76,24.64,47.87,-0.29,0.20,7.00,35.71,24.17,51.18
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.03,0.44,1.00,82.13,55.77,100.00,1.41,0.38,2.00,99.03,70.19,100.00,1.35,0.37,2.00,96.14,67.79,100.00,1.34,0.35,2.00,96.62,72.60,100.00,1.36,0.34,2.00,97.12,72.25,100.00,1.14,0.31,3.00,89.10,69.34,100.00,1.12,0.30,3.00,88.63,67.92,99.53,1.30,0.29,3.00,94.31,70.28,99.53,1.30,0.27,3.00,93.36,73.11,99.53,1.34,0.28,3.00,95.73,75.00,99.53,1.20,0.24,3.00,92.86,73.93,99.53,1.26,0.25,3.00,94.29,73.93,99.53
