Year,Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper
1996,AFGHANISTAN,AFG,-2.13,0.48,1.00,0.98,0.00,9.27
1998,AFGHANISTAN,AFG,-2.16,0.49,1.00,1.96,0.00,8.29
2000,AFGHANISTAN,AFG,-2.19,0.45,1.00,0.98,0.00,8.29
2002,AFGHANISTAN,AFG,-1.87,0.31,2.00,2.94,0.00,7.80
2003,AFGHANISTAN,AFG,-1.49,0.25,2.00,5.39,2.93,15.61
2004,AFGHANISTAN,AFG,-1.50,0.23,4.00,5.39,2.93,12.20
2005,AFGHANISTAN,AFG,-1.64,0.20,4.00,2.94,1.95,9.76
2006,AFGHANISTAN,AFG,-1.68,0.22,5.00,2.94,2.44,8.78
2007,AFGHANISTAN,AFG,-1.70,0.24,4.00,2.91,2.42,8.21
2008,AFGHANISTAN,AFG,-1.61,0.21,5.00,3.40,2.90,8.21
2009,AFGHANISTAN,AFG,-1.67,0.19,6.00,3.35,2.86,6.19
2010,AFGHANISTAN,AFG,-1.53,0.19,6.00,5.26,2.86,8.57
2011,AFGHANISTAN,AFG,-1.54,0.18,6.00,4.74,2.83,9.43
2012,AFGHANISTAN,AFG,-1.19,0.18,8.00,10.90,5.66,22.17
2013,AFGHANISTAN,AFG,-1.19,0.18,9.00,10.90,6.13,21.70
2014,AFGHANISTAN,AFG,-1.13,0.19,9.00,11.06,5.74,23.44
2015,AFGHANISTAN,AFG,-1.01,0.19,9.00,13.46,6.70,28.23
1996,ALBANIA,ALB,-0.42,0.37,4.00,34.31,17.56,57.56
1998,ALBANIA,ALB,-0.19,0.31,5.00,44.12,23.41,61.95
2000,ALBANIA,ALB,-0.26,0.28,6.00,38.73,22.44,58.05
2002,ALBANIA,ALB,-0.25,0.23,7.00,43.63,27.32,57.07
2003,ALBANIA,ALB,-0.47,0.19,7.00,36.27,20.49,48.78
2004,ALBANIA,ALB,-0.16,0.19,8.00,49.02,34.15,59.51
2005,ALBANIA,ALB,-0.30,0.18,9.00,45.59,26.83,54.15
2006,ALBANIA,ALB,-0.10,0.18,10.00,51.47,40.00,57.56
2007,ALBANIA,ALB,0.06,0.18,10.00,55.83,46.86,62.32
2008,ALBANIA,ALB,0.15,0.18,10.00,55.83,51.21,63.77
2009,ALBANIA,ALB,0.25,0.17,10.00,58.37,52.86,68.10
2010,ALBANIA,ALB,0.23,0.16,10.00,57.42,52.38,69.05
2011,ALBANIA,ALB,0.24,0.16,11.00,56.87,52.83,69.34
2012,ALBANIA,ALB,0.20,0.17,12.00,57.35,50.94,66.98
2013,ALBANIA,ALB,0.21,0.17,12.00,57.82,50.94,67.92
2014,ALBANIA,ALB,0.23,0.18,11.00,60.10,51.67,68.90
2015,ALBANIA,ALB,0.20,0.17,11.00,59.13,50.24,68.42
1996,ALGERIA,DZA,-0.77,0.32,4.00,23.04,9.27,41.46
1998,ALGERIA,DZA,-0.72,0.27,6.00,22.55,13.66,36.59
2000,ALGERIA,DZA,-0.69,0.24,6.00,23.04,13.66,37.56
2002,ALGERIA,DZA,-0.59,0.21,7.00,28.92,18.54,43.90
2003,ALGERIA,DZA,-0.55,0.18,8.00,29.90,19.51,46.34
2004,ALGERIA,DZA,-0.54,0.17,9.00,29.90,20.49,46.34
2005,ALGERIA,DZA,-0.43,0.16,9.00,38.24,24.39,50.24
2006,ALGERIA,DZA,-0.56,0.17,10.00,29.90,20.98,44.88
2007,ALGERIA,DZA,-0.61,0.17,10.00,27.18,19.32,41.55
2008,ALGERIA,DZA,-0.79,0.18,9.00,21.36,15.46,33.33
2009,ALGERIA,DZA,-1.07,0.17,9.00,13.40,6.19,23.81
2010,ALGERIA,DZA,-1.17,0.17,9.00,10.53,5.71,20.95
2011,ALGERIA,DZA,-1.19,0.17,9.00,9.95,6.60,21.70
2012,ALGERIA,DZA,-1.28,0.19,9.00,9.00,3.77,18.40
2013,ALGERIA,DZA,-1.17,0.18,9.00,11.85,6.13,22.64
2014,ALGERIA,DZA,-1.28,0.19,9.00,8.17,4.78,17.22
2015,ALGERIA,DZA,-1.17,0.18,9.00,10.58,5.26,20.10
1996,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,AMERICAN SAMOA,ASM,0.47,0.33,1.00,66.18,51.71,79.02
2005,AMERICAN SAMOA,ASM,0.36,0.25,1.00,62.75,52.68,71.71
2006,AMERICAN SAMOA,ASM,0.35,0.32,1.00,61.76,49.27,76.59
2007,AMERICAN SAMOA,ASM,0.36,0.37,1.00,62.62,46.38,78.74
2008,AMERICAN SAMOA,ASM,0.37,0.39,1.00,63.59,46.38,80.19
2009,AMERICAN SAMOA,ASM,0.39,0.44,1.00,63.64,40.00,82.86
2010,AMERICAN SAMOA,ASM,0.38,0.48,1.00,63.16,36.67,84.29
2011,AMERICAN SAMOA,ASM,0.38,0.49,1.00,62.56,35.38,84.91
2012,AMERICAN SAMOA,ASM,0.37,0.52,1.00,62.56,33.96,86.32
