,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
AFGHANISTAN,AFG,-2.13,0.48,1.00,0.98,0.00,9.27,-2.16,0.49,1.00,1.96,0.00,8.29,-2.19,0.45,1.00,0.98,0.00,8.29,-1.87,0.31,2.00,2.94,0.00,7.80,-1.49,0.25,2.00,5.39,2.93,15.61,-1.50,0.23,4.00,5.39,2.93,12.20,-1.64,0.20,4.00,2.94,1.95,9.76,-1.68,0.22,5.00,2.94,2.44,8.78,-1.70,0.24,4.00,2.91,2.42,8.21,-1.61,0.21,5.00,3.40,2.90,8.21,-1.67,0.19,6.00,3.35,2.86,6.19,-1.53,0.19,6.00,5.26,2.86,8.57,-1.54,0.18,6.00,4.74,2.83,9.43,-1.19,0.18,8.00,10.90,5.66,22.17,-1.19,0.18,9.00,10.90,6.13,21.70,-1.13,0.19,9.00,11.06,5.74,23.44,-1.01,0.19,9.00,13.46,6.70,28.23
ALBANIA,ALB,-0.42,0.37,4.00,34.31,17.56,57.56,-0.19,0.31,5.00,44.12,23.41,61.95,-0.26,0.28,6.00,38.73,22.44,58.05,-0.25,0.23,7.00,43.63,27.32,57.07,-0.47,0.19,7.00,36.27,20.49,48.78,-0.16,0.19,8.00,49.02,34.15,59.51,-0.30,0.18,9.00,45.59,26.83,54.15,-0.10,0.18,10.00,51.47,40.00,57.56,0.06,0.18,10.00,55.83,46.86,62.32,0.15,0.18,10.00,55.83,51.21,63.77,0.25,0.17,10.00,58.37,52.86,68.10,0.23,0.16,10.00,57.42,52.38,69.05,0.24,0.16,11.00,56.87,52.83,69.34,0.20,0.17,12.00,57.35,50.94,66.98,0.21,0.17,12.00,57.82,50.94,67.92,0.23,0.18,11.00,60.10,51.67,68.90,0.20,0.17,11.00,59.13,50.24,68.42
ALGERIA,DZA,-0.77,0.32,4.00,23.04,9.27,41.46,-0.72,0.27,6.00,22.55,13.66,36.59,-0.69,0.24,6.00,23.04,13.66,37.56,-0.59,0.21,7.00,28.92,18.54,43.90,-0.55,0.18,8.00,29.90,19.51,46.34,-0.54,0.17,9.00,29.90,20.49,46.34,-0.43,0.16,9.00,38.24,24.39,50.24,-0.56,0.17,10.00,29.90,20.98,44.88,-0.61,0.17,10.00,27.18,19.32,41.55,-0.79,0.18,9.00,21.36,15.46,33.33,-1.07,0.17,9.00,13.40,6.19,23.81,-1.17,0.17,9.00,10.53,5.71,20.95,-1.19,0.17,9.00,9.95,6.60,21.70,-1.28,0.19,9.00,9.00,3.77,18.40,-1.17,0.18,9.00,11.85,6.13,22.64,-1.28,0.19,9.00,8.17,4.78,17.22,-1.17,0.18,9.00,10.58,5.26,20.10
AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.47,0.33,1.00,66.18,51.71,79.02,0.36,0.25,1.00,62.75,52.68,71.71,0.35,0.32,1.00,61.76,49.27,76.59,0.36,0.37,1.00,62.62,46.38,78.74,0.37,0.39,1.00,63.59,46.38,80.19,0.39,0.44,1.00,63.64,40.00,82.86,0.38,0.48,1.00,63.16,36.67,84.29,0.38,0.49,1.00,62.56,35.38,84.91,0.37,0.52,1.00,62.56,33.96,86.32,0.37,0.51,1.00,63.51,34.43,86.32,0.18,0.53,1.00,58.17,27.75,80.86,0.17,0.47,1.00,58.17,29.67,79.43
ANDORRA,ADO,1.24,0.48,1.00,88.24,65.37,99.51,1.26,0.49,1.00,89.71,66.83,99.51,1.23,0.45,1.00,88.73,67.32,99.02,1.42,0.38,1.00,90.69,74.63,100.00,1.39,0.29,1.00,90.69,77.07,99.51,1.38,0.33,1.00,88.73,76.59,99.51,1.35,0.25,1.00,90.20,76.59,99.02,1.34,0.32,1.00,91.18,73.17,99.51,1.36,0.37,1.00,90.29,72.95,99.52,1.38,0.39,1.00,89.81,73.91,100.00,1.38,0.44,1.00,90.43,72.38,100.00,1.37,0.48,1.00,89.47,70.00,100.00,1.60,0.49,1.00,93.84,75.94,100.00,1.56,0.52,1.00,93.84,74.53,100.00,1.56,0.51,1.00,92.89,73.58,100.00,0.85,0.53,1.00,77.40,52.15,94.74,0.89,0.47,1.00,78.37,55.98,93.30
ANGOLA,AGO,-1.46,0.32,4.00,7.84,1.95,20.00,-1.72,0.27,6.00,5.88,2.44,10.73,-1.83,0.26,5.00,3.92,0.49,8.78,-1.49,0.22,6.00,6.86,3.41,13.66,-1.23,0.18,7.00,10.78,3.90,17.56,-1.25,0.18,8.00,9.80,5.37,17.07,-1.29,0.17,8.00,10.29,4.88,17.56,-1.12,0.18,9.00,13.24,7.32,21.46,-1.03,0.18,8.00,16.50,6.76,23.67,-1.06,0.18,8.00,16.02,6.28,22.71,-1.02,0.17,9.00,16.27,6.19,24.76,-1.02,0.16,10.00,16.27,7.62,24.76,-1.08,0.16,10.00,13.74,7.55,22.17,-0.96,0.18,9.00,18.96,9.43,28.30,-1.05,0.18,10.00,15.64,8.02,24.53,-0.98,0.18,10.00,16.83,8.61,28.23,-0.91,0.18,9.00,17.79,9.09,29.67
ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.87,0.33,1.00,78.43,64.88,89.27,1.10,0.25,1.00,81.86,70.24,92.20,1.34,0.32,1.00,91.18,73.17,99.51,1.36,0.37,1.00,90.29,72.95,99.52,1.38,0.39,1.00,89.81,73.91,100.00,1.38,0.44,1.00,90.43,72.38,100.00,1.37,0.48,1.00,89.47,70.00,100.00,1.35,0.49,1.00,89.57,70.75,100.00,1.32,0.52,1.00,88.63,66.98,100.00,1.32,0.51,1.00,89.10,67.45,100.00,0.85,0.53,1.00,77.40,52.15,94.74,0.89,0.47,1.00,78.37,55.98,93.30
ANTIGUA AND BARBUDA,ATG,0.76,0.48,1.00,75.49,50.24,94.63,0.77,0.49,1.00,75.49,52.20,95.12,0.74,0.45,1.00,76.96,54.15,92.68,0.68,0.38,1.00,70.59,56.59,87.80,0.65,0.29,1.00,70.10,57.07,82.44,0.55,0.30,2.00,68.63,56.10,79.51,0.56,0.25,2.00,66.18,57.07,77.07,0.53,0.31,2.00,66.18,54.63,80.49,0.51,0.35,2.00,67.48,52.17,83.57,0.62,0.39,1.00,71.36,53.62,86.96,0.63,0.44,1.00,72.25,51.43,88.10,0.63,0.48,1.00,72.73,46.67,90.00,0.62,0.49,1.00,72.99,47.17,91.04,0.60,0.52,1.00,72.04,43.87,91.04,0.61,0.51,1.00,71.56,45.75,91.04,0.51,0.53,1.00,68.75,40.19,89.47,0.53,0.47,1.00,70.67,45.93,88.52
ARGENTINA,ARG,0.62,0.27,6.00,70.10,57.07,83.90,0.59,0.25,7.00,69.61,56.59,80.49,0.29,0.22,7.00,61.76,51.22,71.22,-0.94,0.20,8.00,18.63,10.73,28.29,-0.72,0.18,8.00,23.53,17.07,39.02,-0.70,0.18,9.00,23.53,15.61,39.51,-0.57,0.17,9.00,28.92,20.98,45.85,-0.63,0.18,10.00,26.96,18.54,42.93,-0.66,0.18,10.00,26.21,17.39,39.61,-0.74,0.18,9.00,23.30,16.43,37.68,-0.84,0.17,10.00,23.44,12.86,32.38,-0.76,0.17,10.00,24.40,16.19,34.76,-0.72,0.16,11.00,25.59,18.87,35.38,-0.94,0.17,11.00,20.38,10.38,28.30,-0.97,0.17,11.00,18.01,9.43,26.89,-1.08,0.18,11.00,12.50,6.22,25.36,-0.96,0.17,11.00,16.83,8.13,28.71
ARMENIA,ARM,-0.35,0.39,3.00,37.75,18.05,62.44,-0.11,0.31,5.00,48.04,24.88,65.37,-0.13,0.28,6.00,45.10,27.32,62.44,0.01,0.23,7.00,53.43,40.98,63.41,0.18,0.19,7.00,57.35,49.27,66.34,0.13,0.19,8.00,58.33,48.29,65.85,0.08,0.18,9.00,55.39,48.29,62.93,0.28,0.18,11.00,58.82,54.63,67.32,0.26,0.17,11.00,58.74,53.14,68.60,0.31,0.17,11.00,61.17,54.11,68.12,0.28,0.16,11.00,59.81,53.81,70.00,0.30,0.15,11.00,59.81,53.33,69.52,0.26,0.15,11.00,57.82,52.83,69.81,0.34,0.16,12.00,61.61,54.72,72.17,0.25,0.17,12.00,59.24,53.30,67.92,0.22,0.18,12.00,59.62,51.20,67.94,0.25,0.17,12.00,61.06,52.15,70.81
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.73,0.33,1.00,73.53,61.46,86.83,0.85,0.25,1.00,75.00,62.93,87.80,0.85,0.32,1.00,75.49,60.49,91.22,0.86,0.37,1.00,77.18,58.45,91.30,0.88,0.39,1.00,78.64,57.49,92.27,1.31,0.34,2.00,86.60,73.81,99.52,1.37,0.36,2.00,88.04,75.71,100.00,1.35,0.36,2.00,90.05,75.94,99.53,1.43,0.35,2.00,91.00,76.89,100.00,1.45,0.34,2.00,91.00,77.83,100.00,1.30,0.35,2.00,89.42,74.16,98.09,1.38,0.34,2.00,90.87,76.08,98.56
