Year,Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper
1996,AFGHANISTAN,AFG,-1.76,0.37,2.00,1.91,0.00,13.81
1998,AFGHANISTAN,AFG,-1.74,0.34,2.00,1.91,0.48,11.90
2000,AFGHANISTAN,AFG,-1.77,0.28,2.00,1.44,0.48,10.00
2002,AFGHANISTAN,AFG,-1.77,0.31,3.00,1.44,0.00,9.52
2003,AFGHANISTAN,AFG,-1.67,0.30,3.00,2.39,0.00,13.33
2004,AFGHANISTAN,AFG,-1.71,0.22,5.00,1.91,0.48,7.62
2005,AFGHANISTAN,AFG,-1.72,0.21,6.00,1.44,0.48,8.10
2006,AFGHANISTAN,AFG,-1.95,0.20,8.00,0.48,0.48,2.38
2007,AFGHANISTAN,AFG,-1.92,0.26,7.00,0.96,0.48,4.29
2008,AFGHANISTAN,AFG,-1.94,0.23,8.00,0.48,0.48,2.87
2009,AFGHANISTAN,AFG,-1.91,0.18,9.00,0.47,0.47,2.36
2010,AFGHANISTAN,AFG,-1.90,0.18,9.00,0.47,0.47,2.83
2011,AFGHANISTAN,AFG,-1.94,0.17,9.00,0.47,0.47,1.87
2012,AFGHANISTAN,AFG,-1.72,0.17,10.00,0.47,0.47,3.74
2013,AFGHANISTAN,AFG,-1.67,0.16,11.00,1.41,0.47,4.21
2014,AFGHANISTAN,AFG,-1.53,0.18,10.00,2.40,0.96,7.66
2015,AFGHANISTAN,AFG,-1.59,0.17,10.00,2.40,0.96,6.70
1996,ALBANIA,ALB,-0.93,0.26,5.00,20.57,8.57,33.81
1998,ALBANIA,ALB,-1.20,0.25,6.00,11.00,4.29,23.81
2000,ALBANIA,ALB,-1.24,0.21,8.00,10.53,2.86,22.86
2002,ALBANIA,ALB,-0.92,0.21,9.00,21.05,9.52,33.81
2003,ALBANIA,ALB,-0.88,0.20,9.00,22.01,11.90,34.29
2004,ALBANIA,ALB,-0.76,0.18,10.00,26.32,15.24,38.10
2005,ALBANIA,ALB,-0.80,0.18,11.00,25.84,14.29,36.67
2006,ALBANIA,ALB,-0.73,0.15,13.00,26.79,17.62,39.52
2007,ALBANIA,ALB,-0.71,0.15,13.00,27.27,18.10,40.95
2008,ALBANIA,ALB,-0.64,0.15,13.00,31.73,20.57,41.63
2009,ALBANIA,ALB,-0.53,0.14,13.00,36.49,25.94,45.75
2010,ALBANIA,ALB,-0.44,0.14,14.00,40.76,30.66,48.58
2011,ALBANIA,ALB,-0.49,0.13,15.00,38.50,29.91,47.66
2012,ALBANIA,ALB,-0.54,0.12,16.00,36.62,27.57,46.26
2013,ALBANIA,ALB,-0.55,0.13,15.00,36.62,26.64,44.86
2014,ALBANIA,ALB,-0.37,0.14,13.00,40.87,32.06,52.15
2015,ALBANIA,ALB,-0.36,0.14,13.00,41.83,32.06,52.63
1996,ALGERIA,DZA,-1.19,0.21,5.00,11.00,5.24,24.76
1998,ALGERIA,DZA,-1.18,0.21,7.00,11.96,5.24,22.38
2000,ALGERIA,DZA,-1.17,0.17,7.00,12.44,4.76,24.76
2002,ALGERIA,DZA,-0.59,0.18,8.00,33.49,22.86,45.24
2003,ALGERIA,DZA,-0.54,0.18,9.00,34.45,23.81,44.29
