Year,Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper
1996,AFGHANISTAN,AFG,-1.90,0.30,3.00,1.92,0.00,9.09
1998,AFGHANISTAN,AFG,-2.04,0.30,3.00,0.48,0.00,7.18
2000,AFGHANISTAN,AFG,-1.98,0.30,3.00,1.44,0.00,8.13
2002,AFGHANISTAN,AFG,-1.57,0.20,5.00,6.73,1.91,12.44
2003,AFGHANISTAN,AFG,-1.28,0.21,4.00,12.02,6.22,22.49
2004,AFGHANISTAN,AFG,-1.25,0.19,6.00,13.94,6.22,21.53
2005,AFGHANISTAN,AFG,-1.18,0.19,7.00,13.46,8.13,23.44
2006,AFGHANISTAN,AFG,-1.19,0.16,8.00,14.42,8.61,21.53
2007,AFGHANISTAN,AFG,-1.12,0.15,9.00,16.83,9.57,24.40
2008,AFGHANISTAN,AFG,-1.24,0.15,9.00,13.46,8.13,20.10
2009,AFGHANISTAN,AFG,-1.46,0.15,9.00,8.53,4.25,13.21
2010,AFGHANISTAN,AFG,-1.48,0.15,9.00,7.58,4.25,13.68
2011,AFGHANISTAN,AFG,-1.40,0.15,9.00,9.39,4.67,14.02
2012,AFGHANISTAN,AFG,-1.32,0.14,10.00,11.27,6.54,16.36
2013,AFGHANISTAN,AFG,-1.29,0.13,11.00,12.68,7.01,16.82
2014,AFGHANISTAN,AFG,-1.18,0.14,9.00,14.78,9.31,22.06
2015,AFGHANISTAN,AFG,-1.15,0.13,9.00,16.26,9.80,23.04
1996,ALBANIA,ALB,-0.76,0.24,4.00,24.52,14.35,38.28
1998,ALBANIA,ALB,-0.45,0.26,4.00,36.06,22.49,50.24
2000,ALBANIA,ALB,-0.32,0.21,5.00,40.38,27.75,50.24
2002,ALBANIA,ALB,-0.04,0.18,6.00,47.60,41.15,54.55
2003,ALBANIA,ALB,0.06,0.17,7.00,48.56,40.19,57.89
2004,ALBANIA,ALB,0.03,0.18,8.00,50.00,41.15,58.85
2005,ALBANIA,ALB,0.03,0.18,10.00,52.88,39.71,59.33
2006,ALBANIA,ALB,0.06,0.14,12.00,49.52,42.58,56.46
2007,ALBANIA,ALB,0.09,0.14,12.00,50.96,44.98,56.94
2008,ALBANIA,ALB,0.16,0.14,12.00,53.85,46.41,58.85
2009,ALBANIA,ALB,0.13,0.14,12.00,53.55,44.81,58.02
2010,ALBANIA,ALB,0.11,0.13,13.00,53.55,45.28,58.02
2011,ALBANIA,ALB,0.05,0.13,14.00,51.64,43.46,56.07
2012,ALBANIA,ALB,0.01,0.12,15.00,50.70,43.46,56.54
2013,ALBANIA,ALB,0.05,0.12,14.00,51.64,43.93,57.01
2014,ALBANIA,ALB,0.15,0.13,11.00,53.20,47.55,59.80
2015,ALBANIA,ALB,0.16,0.13,11.00,53.69,47.06,59.80
1996,ALGERIA,DZA,-1.27,0.22,5.00,12.50,6.22,20.57
1998,ALGERIA,DZA,-1.38,0.23,5.00,10.10,3.35,19.14
2000,ALGERIA,DZA,-1.21,0.21,6.00,12.98,6.70,22.49
2002,ALGERIA,DZA,-1.12,0.17,8.00,17.31,10.53,23.92
2003,ALGERIA,DZA,-1.14,0.16,9.00,17.31,10.05,24.40
2004,ALGERIA,DZA,-0.82,0.14,12.00,24.52,18.66,30.62
2005,ALGERIA,DZA,-0.76,0.14,13.00,26.44,19.62,30.14
2006,ALGERIA,DZA,-0.92,0.12,14.00,22.12,17.70,28.23
2007,ALGERIA,DZA,-1.00,0.11,15.00,19.71,13.40,25.36
2008,ALGERIA,DZA,-0.99,0.11,15.00,19.71,15.79,25.36
2009,ALGERIA,DZA,-1.06,0.11,15.00,17.06,12.74,25.00
2010,ALGERIA,DZA,-1.03,0.11,15.00,18.01,13.68,25.94
2011,ALGERIA,DZA,-1.00,0.11,15.00,18.31,14.02,26.17
