,Code,EIU15VA,EIU15GE,EIU14VA,EIU14GE,EIU13VA,EIU13GE,EIU12VA,EIU12GE,EIU11VA,EIU11GE,EIU10VA,EIU10GE,EIU09VA,EIU09GE,EIU08VA,EIU08GE,EIU07VA,EIU07GE,EIU06VA,EIU06GE,EIU05VA,EIU05GE,EIU04VA,EIU04GE,EIU03VA,EIU03GE,EIU02VA,EIU02GE,EIU00VA,EIU00GE,EIU98VA,EIU98GE,EIU96VA,EIU96GE
,Year,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2009,2009,2008,2008,2007,2007,2006,2006,2005,2005,2004,2004,2003,2003,2002,2002,2000,2000,1998,1998,1996,1996
Aruba,ABW,0.8125,0.625,0.8125,0.625,0.81,0.63,0.81,0.63,0.81,0.63,0.81,0.63,0.81,0.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Afghanistan,AFG,0.16975,0,0.16975,0,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.18,0.00,0.30,..,0.31,..,0.18,0.00,0.06,0.13,0.06,0.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Angola,AGO,0.2925,0.125,0.2925,0.125,0.29,0.13,0.29,0.25,0.29,0.25,0.29,0.25,0.29,0.25,0.32,0.13,0.25,0.00,0.21,0.00,0.19,0.13,0.13,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00
Albania,ALB,0.57675,0.25,0.56475,0.25,0.56,0.25,0.53,0.25,0.54,0.25,0.54,0.25,0.55,0.25,0.55,0.25,0.55,0.25,0.55,0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,0.23125,0.625,0.22575,0.5,0.22,0.50,0.22,0.50,0.22,0.50,0.22,0.50,0.22,0.50,0.26,0.50,0.25,0.50,0.25,0.50,0.25,0.50,0.25,0.50,0.25,0.50,0.25,0.50,0.25,0.50,0.25,0.50,0.25,0.50
Argentina,ARG,0.601,0.375,0.592,0.375,0.59,0.38,0.59,0.38,0.62,0.38,0.62,0.38,0.61,0.38,0.61,0.38,0.61,0.38,0.61,0.38,0.56,0.38,0.56,0.38,0.50,0.38,0.50,0.38,0.38,0.38,0.38,0.50,0.38,0.63
Armenia,ARM,0.3875,0.375,0.36275,0.375,0.33,0.38,0.33,0.25,0.33,0.25,0.33,0.25,0.35,0.25,0.35,0.25,0.33,0.25,0.33,0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Australia,AUS,0.85675,1,0.85675,1,0.86,0.88,0.87,0.75,0.87,0.75,0.87,0.75,0.86,0.75,0.86,0.75,0.86,0.75,0.86,0.75,0.81,0.75,0.75,0.88,0.69,0.75,0.69,0.75,0.69,0.75,0.69,0.63,0.69,0.63
Austria,AUT,0.8645,0.75,0.8645,0.75,0.86,0.75,0.87,0.75,0.86,0.75,0.89,0.88,0.89,0.75,0.89,0.75,0.90,0.75,0.90,0.75,0.81,0.88,0.88,0.88,0.81,1.00,0.81,1.00,0.75,1.00,0.81,1.00,0.81,1.00
Azerbaijan,AZE,0.198,0.25,0.204,0.25,0.22,0.25,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.23,0.00,0.23,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.19,0.13,0.19,0.13,0.19,0.13
Burundi,BDI,0.2495,0.125,0.2915,0.125,0.30,0.13,0.31,0.00,0.33,0.13,0.33,0.13,0.35,0.13,0.35,0.13,0.35,0.13,0.38,0.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,BEL,0.834,0.625,0.834,0.5,0.84,0.75,0.84,0.75,0.84,0.75,0.84,0.75,0.85,0.75,0.85,0.63,0.85,0.75,0.85,0.75,0.81,0.88,0.81,0.88,0.81,1.00,0.75,1.00,0.75,1.00,0.75,1.00,0.75,1.00
Benin,BEN,0.50475,0.25,0.50125,0.25,0.51,0.25,0.52,0.25,0.52,0.25,0.53,0.25,0.52,0.25,0.49,0.25,0.56,0.25,0.56,0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burkina Faso,BFA,0.4225,0.25,0.42325,0.25,0.43,0.25,0.39,0.25,0.40,0.38,0.43,0.38,0.43,0.38,0.40,0.38,0.42,0.19,0.44,0.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bangladesh,BGD,0.4115,0.25,0.414,0.25,0.42,0.25,0.42,0.25,0.42,0.25,0.42,0.25,0.40,0.25,0.37,0.25,0.40,0.25,0.40,0.25,0.19,0.13,0.19,0.13,0.25,0.13,0.25,0.13,0.31,0.25,0.31,0.25,0.31,0.25
Bulgaria,BGR,0.63825,0.375,0.61775,0.25,0.62,0.25,0.62,0.25,0.62,0.25,0.62,0.25,0.63,0.25,0.66,0.25,0.67,0.25,0.67,0.25,0.63,0.25,0.63,0.25,0.63,0.25,0.63,0.25,0.56,0.25,0.50,0.25,0.38,0.00
Bahrain,BHR,0.23325,0.5,0.23725,0.5,0.21,0.50,0.19,0.50,0.21,0.50,0.30,0.50,0.29,0.50,0.29,0.50,0.30,0.50,0.30,0.50,0.25,0.50,0.31,0.50,0.25,0.50,0.25,0.50,0.19,0.50,0.19,0.50,0.19,0.50
"Bahamas, The",BHS,0.6875,0.5,0.6875,0.5,0.69,0.50,0.69,0.50,0.69,0.50,0.69,0.50,0.69,0.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bosnia and Herzegovina,BIH,0.429,0,0.4265,0,0.44,0.00,0.44,0.00,0.45,0.00,0.48,0.00,0.54,0.00,0.54,0.00,0.57,0.00,0.60,0.00,0.63,0.00,0.63,0.00,0.63,0.00,0.63,0.00,0.63,0.00,0.63,0.00,0.63,0.00
Belarus,BLR,0.21225,0.125,0.21575,0.125,0.18,0.13,0.18,0.13,0.19,0.13,0.20,0.13,0.20,0.13,0.20,0.13,0.20,0.13,0.20,0.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belize,BLZ,0.625,0.25,0.625,0.25,0.63,0.25,0.63,0.25,0.63,0.25,0.63,0.25,0.63,0.25,0.56,0.25,0.50,0.25,0.50,0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bolivia,BOL,0.50625,0.125,0.50825,0.125,0.51,0.13,0.51,0.25,0.51,0.25,0.51,0.25,0.53,0.25,0.53,0.25,0.52,0.25,0.52,0.25,0.38,0.13,0.38,0.13,0.38,0.38,0.38,0.38,0.44,0.38,0.44,0.38,0.38,0.50
Brazil,BRA,0.56675,0.375,0.58775,0.375,0.57,0.38,0.61,0.25,0.61,0.25,0.61,0.25,0.59,0.25,0.59,0.25,0.59,0.25,0.59,0.25,0.44,0.25,0.38,0.25,0.38,0.25,0.38,0.25,0.44,0.25,0.38,0.25,0.38,0.25
Barbados,BRB,0.8125,0.625,0.8125,0.625,0.81,0.63,0.81,0.63,0.81,0.63,0.81,0.63,0.81,0.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brunei Darussalam,BRN,0.5,0.5,0.5,0.5,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bhutan,BTN,0.52775,0.5,0.4935,0.25,0.49,0.25,0.45,0.50,0.45,0.50,0.45,0.50,0.42,0.50,0.41,..,0.26,..,0.26,..,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Botswana,BWA,0.67475,0.5,0.67475,0.5,0.68,0.50,0.67,0.50,0.66,0.50,0.66,0.50,0.65,0.50,0.65,0.50,0.66,0.50,0.66,0.50,0.69,0.50,0.69,0.50,0.75,0.50,0.63,0.50,0.63,0.50,0.63,0.50,0.63,0.50
Central African Republic,CAF,0.17225,0,0.137,0,0.14,0.00,0.16,0.00,0.15,0.13,0.15,0.13,0.16,0.13,0.19,..,0.16,..,0.16,..,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
