,Code,GCS15VA,GCS15GE,GCS14VA,GCS14GE,GCS13VA,GCS13GE,GCS12VA,GCS12GE,GCS11VA,GCS11GE,GCS10VA,GCS10GE,GCS09VA,GCS09GE,GCS08VA,GCS08GE,GCS07VA,GCS07GE,GCS06VA,GCS06GE,GCS05VA,GCS05GE,GCS04VA,GCS04GE,GCS03VA,GCS03GE,GCS02VA,GCS02GE,GCS00VA,GCS00GE,GCS98GE,GCS96GE,
,Year,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2009,2009,2008,2008,2007,2007,2006,2006,2005,2005,2004,2004,2003,2003,2002,2002,2000,2000,1998,1996,
Angola,AGO,#N/A,#N/A,0.23,0.19,0.28,0.18,#N/A,#N/A,0.32,0.13,0.39,0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.37,0.16,#N/A,#N/A,0.30,0.09,0.25,0.11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Albania,ALB,0.58,0.61,0.47,0.51,0.36,0.48,0.43,0.52,0.51,0.61,0.52,0.55,0.51,0.50,0.40,0.31,0.40,0.29,0.42,0.25,0.41,0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
United Arab Emirates,ARE,0.75,0.84,0.72,0.84,0.74,0.85,0.69,0.83,0.69,0.80,0.56,0.70,0.70,0.80,0.62,0.72,0.62,0.67,0.59,0.65,0.44,0.67,0.54,0.67,#N/A,#N/A,0.61,0.69,#N/A,#N/A,#N/A,#N/A,
Argentina,ARG,0.29,0.37,0.26,0.33,0.24,0.38,0.27,0.37,0.29,0.39,0.29,0.37,0.33,0.38,0.27,0.31,0.26,0.32,0.31,0.34,0.32,0.40,0.30,0.37,0.28,0.42,0.29,0.39,0.33,0.41,0.41,0.43,
Armenia,ARM,0.47,0.52,0.46,0.51,0.48,0.52,0.49,0.51,0.45,0.46,0.40,0.41,0.42,0.47,0.36,0.34,0.34,0.33,0.40,0.31,0.33,0.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Australia,AUS,0.68,0.68,0.66,0.70,0.59,0.66,0.68,0.72,0.69,0.72,0.74,0.75,0.71,0.68,0.74,0.69,0.76,0.75,0.77,0.71,0.72,0.77,0.73,0.81,0.80,0.84,0.74,0.84,0.67,0.79,0.71,0.67,
Austria,AUT,0.64,0.73,0.62,0.76,0.64,0.76,0.63,0.75,0.64,0.73,0.66,0.78,0.68,0.78,0.65,0.83,0.73,0.80,0.71,0.80,0.64,0.81,0.62,0.83,0.59,0.84,0.70,0.89,0.57,0.93,0.78,0.75,
Azerbaijan,AZE,0.57,0.56,0.44,0.49,0.46,0.48,0.50,0.45,0.53,0.45,0.41,0.38,0.51,0.47,0.45,0.38,0.43,0.38,0.43,0.36,0.42,0.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Burundi,BDI,0.34,0.35,0.31,0.26,0.27,0.26,0.33,0.17,0.32,0.24,0.41,0.24,0.31,0.33,0.31,0.23,0.39,0.21,0.41,0.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Belgium,BEL,0.67,0.78,0.61,0.83,0.61,0.83,0.62,0.85,0.61,0.86,0.61,0.85,0.57,0.84,0.60,0.84,0.61,0.83,0.60,0.83,0.58,0.82,0.58,0.88,0.59,0.82,0.62,0.88,0.57,0.87,0.76,0.69,
Benin,BEN,0.43,0.27,#N/A,#N/A,0.40,0.32,0.51,0.38,0.45,0.41,0.44,0.38,0.54,0.38,0.50,0.36,0.54,0.33,0.52,0.28,0.42,0.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Burkina Faso,BFA,#N/A,#N/A,0.42,0.31,0.36,0.27,0.45,0.32,0.47,0.31,0.43,0.32,0.50,0.30,0.56,0.34,0.51,0.27,0.54,0.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Bangladesh,BGD,0.34,0.32,0.37,0.32,0.40,0.32,0.44,0.30,0.43,0.30,0.46,0.29,0.47,0.26,0.40,0.21,0.41,0.26,0.42,0.20,0.37,0.24,0.36,0.20,0.35,0.16,0.36,0.20,0.18,0.15,#N/A,#N/A,
Bulgaria,BGR,0.37,0.49,0.29,0.50,0.34,0.50,0.38,0.45,0.36,0.38,0.38,0.37,0.37,0.40,0.38,0.29,0.39,0.37,0.37,0.36,0.37,0.41,0.34,0.41,0.33,0.43,0.35,0.43,0.30,0.47,#N/A,#N/A,
Bahrain,BHR,0.63,0.66,0.54,0.67,0.54,0.67,0.51,0.63,0.65,0.73,0.58,0.65,0.53,0.61,0.54,0.56,0.56,0.57,0.47,0.50,0.39,0.49,0.50,0.62,#N/A,#N/A,0.49,0.67,#N/A,#N/A,#N/A,#N/A,
Bosnia and Herzegovina,BIH,0.34,0.40,#N/A,#N/A,0.43,0.60,0.54,0.55,..,..,0.37,0.39,0.33,0.35,0.31,0.33,0.34,0.26,0.39,0.32,0.35,0.28,0.33,0.28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Belize,BLZ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.41,0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Bolivia,BOL,0.34,0.33,0.46,0.36,0.42,0.41,0.43,0.41,0.39,0.40,0.33,0.34,0.29,0.32,0.25,0.16,0.35,0.21,0.38,0.17,0.39,0.18,0.34,0.17,0.34,0.13,0.34,0.14,0.15,0.12,#N/A,#N/A,
Brazil,BRA,0.36,0.27,0.40,0.29,0.42,0.31,0.50,0.31,0.49,0.32,0.50,0.36,0.45,0.35,0.48,0.28,0.42,0.25,0.44,0.24,0.45,0.25,0.52,0.34,0.54,0.34,0.51,0.39,0.33,0.38,0.27,0.31,
Barbados,BRB,#N/A,#N/A,0.56,0.79,0.60,0.77,0.63,0.83,0.70,0.82,0.67,0.78,0.67,0.81,0.71,0.79,0.67,0.68,0.67,0.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Brunei Darussalam,BRN,#N/A,#N/A,#N/A,#N/A,0.60,0.72,0.55,0.68,0.56,0.67,0.52,0.67,0.54,0.70,0.51,0.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Bhutan,BTN,0.55,0.52,0.52,0.53,0.52,0.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Botswana,BWA,0.57,0.48,0.52,0.44,0.57,0.50,0.61,0.56,0.64,0.55,0.61,0.55,0.60,0.55,0.64,0.51,0.60,0.55,0.58,0.49,0.57,0.53,0.58,0.54,0.64,0.57,0.58,0.56,#N/A,#N/A,#N/A,#N/A,
Canada,CAN,0.70,0.72,0.75,0.77,0.68,0.76,0.73,0.80,0.72,0.78,0.72,0.80,0.74,0.79,0.74,0.81,0.71,0.80,0.70,0.78,0.64,0.82,0.63,0.81,0.62,0.84,0.69,0.86,0.50,0.86,0.73,0.74,
Switzerland,CHE,0.80,0.87,0.75,0.89,0.75,0.87,0.77,0.90,0.76,0.88,0.76,0.88,0.75,0.87,0.76,0.90,0.78,0.88,0.79,0.89,0.69,0.87,0.69,0.90,0.72,0.91,0.69,0.92,0.58,0.97,0.85,0.84,
Chile,CHL,0.58,0.45,0.62,0.49,0.62,0.52,0.64,0.51,0.68,0.51,0.69,0.52,0.64,0.53,0.59,0.48,0.61,0.54,0.66,0.46,0.59,0.48,0.61,0.48,0.56,0.47,0.56,0.41,0.63,0.37,0.39,0.37,
