Order,Year,PctPopUrban,GDPPerCapRealLCU,Code,RealGDPNorm
1,1960,51.275,,1001,
2,1961,52.147,,1001,
3,1962,53.019,,1001,
4,1963,53.889,,1001,
5,1964,54.758,,1001,
6,1965,55.622,,1001,
7,1966,56.483,,1001,
8,1967,57.341,,1001,
9,1968,58.195,,1001,
10,1969,59.042,,1001,
11,1970,59.864,,1001,
12,1971,60.657,,1001,
13,1972,61.445,,1001,
14,1973,62.225,,1001,
15,1974,63,,1001,
16,1975,63.611,,1001,
17,1976,64.219,,1001,
18,1977,64.821,,1001,
19,1978,65.419,,1001,
20,1979,65.839,,1001,
21,1980,66.05,,1001,
22,1981,66.259,,1001,
23,1982,66.467,,1001,
24,1983,66.675,,1001,
25,1984,66.883,,1001,
26,1985,67.09,,1001,
27,1986,67.296,,1001,
28,1987,67.501,,1001,
29,1988,67.706,,1001,
30,1989,67.69,,1001,
31,1990,67.421,3.3366375,1001,333663.75
32,1991,67.15,2.9737534379999997,1001,297375.3438
33,1992,66.878,1.762040156,1001,176204.0156
34,1993,66.606,1.6450482810000002,1001,164504.8281
35,1994,66.332,1.775900625,1001,177590.0625
36,1995,66.057,1.937765,1001,193776.5
37,1996,65.781,2.0835817189999997,1001,208358.1719
38,1997,65.504,2.177323438,1001,217732.3438
39,1998,65.226,2.3548007810000002,1001,235480.0781
40,1999,64.947,2.4475564060000004,1001,244755.6406
41,2000,64.666,2.606895,1001,260689.5
42,2001,64.385,2.871017813,1001,287101.7813
43,2002,64.283,3.263235,1001,326323.5
44,2003,64.25,3.7346909379999995,1001,373469.0938
45,2004,64.217,4.13986375,1001,413986.375
46,2005,64.184,4.731185625,1001,473118.5625
47,2006,64.15,5.378363125,1001,537836.3125
48,2007,64.117,6.14659875,1001,614659.875
49,2008,63.997,6.599620625,1001,659962.0625
50,2009,63.789,5.682815625,1001,568281.5625
51,2010,63.58,5.812956875,1001,581295.6875
52,2011,63.371,6.0769625,1001,607696.25
53,2012,63.161,6.491854375,1001,649185.4375
54,2013,62.975,6.675038125,1001,667503.8125
55,2014,62.812,6.883221875,1001,688322.1875
56,2015,62.673,7.062564375,1001,706256.4375
57,1960,81.529,2.403333398,1002,24033.33398
58,1961,81.941,2.414318359,1002,24143.18359
59,1962,82.337,2.387385938,1002,23873.85938
60,1963,82.727,2.48753418,1002,24875.3418
61,1964,83.11,2.609358008,1002,26093.58008
62,1965,83.485,2.711731641,1002,27117.31641
63,1966,83.855,2.7132091799999998,1002,27132.0918
64,1967,84.217,2.847885352,1002,28478.85352
65,1968,84.573,2.940586133,1002,29405.86133
66,1969,84.922,3.082687695,1002,30826.87695
67,1970,85.265,3.239170117,1002,32391.70117
68,1971,85.6,3.2570533200000003,1002,32570.5332
69,1972,85.681,3.322789844,1002,33227.89844
70,1973,85.761,3.3574140630000002,1002,33574.14063
71,1974,85.841,3.4076078130000003,1002,34076.07813
72,1975,85.921,3.4109550779999998,1002,34109.55078
73,1976,86,3.464376953,1002,34643.76953
74,1977,85.94,3.549133203,1002,35491.33203
75,1978,85.881,3.5395667970000004,1002,35395.66797
76,1979,85.821,3.643433984,1002,36434.33984
77,1980,85.76,3.709120703,1002,37091.20703
78,1981,85.7,3.7733234380000003,1002,37733.23438
79,1982,85.64,3.834174609,1002,38341.74609
80,1983,85.58,3.7020625,1002,37020.625
81,1984,85.52,3.829754297,1002,38297.54297
82,1985,85.46,3.976056641,1002,39760.56641
83,1986,85.4,4.071848438,1002,40718.48438
84,1987,85.4,4.113632031,1002,41136.32031
85,1988,85.4,4.280337891,1002,42803.37891
86,1989,85.4,4.371734766,1002,43717.34766
87,1990,85.4,4.459528516,1002,44595.28516
88,1991,85.4,4.386322656,1002,43863.22656
89,1992,85.566,4.3507117189999995,1002,43507.11719
90,1993,85.748,4.4832796880000005,1002,44832.79688
91,1994,85.928,4.615200391,1002,46152.00391
92,1995,86.106,4.736658984,1002,47366.58984
93,1996,86.283,4.8594507810000005,1002,48594.50781
94,1997,86.504,4.995074609,1002,49950.74609
95,1998,86.727,5.162679688,1002,51626.79688
96,1999,86.947,5.359595313,1002,53595.95313
97,2000,87.165,5.500960547,1002,55009.60547
98,2001,87.378,5.531999218999999,1002,55319.99219
99,2002,87.541,5.675651563,1002,56756.51563
100,2003,87.695,5.778194922,1002,57781.94922
101,2004,87.849,5.9485875,1002,59485.875
102,2005,88,6.058843359,1002,60588.43359
103,2006,88.15,6.1481984380000005,1002,61481.98438
104,2007,88.298,6.339501563,1002,63395.01563
105,2008,88.445,6.444044922,1002,64440.44922
106,2009,88.59,6.427458594,1002,64274.58594
107,2010,88.733,6.455969141,1002,64559.69141
108,2011,88.875,6.518385938,1002,65183.85938
109,2012,89.015,6.639792969,1002,66397.92969
110,2013,89.153,6.687322655999999,1002,66873.22656
111,2014,89.289,6.753205469,1002,67532.05469
112,2015,89.423,6.812419531,1002,68124.19531
113,1960,32.401,,1003,
114,1961,33.522,,1003,
115,1962,34.663,,1003,
116,1963,35.822,,1003,
117,1964,37,,1003,
118,1965,38.127,,1003,
119,1966,39.269,,1003,
120,1967,40.422,,1003,
121,1968,41.588,,1003,
122,1969,42.76,,1003,
123,1970,44.01,,1003,
124,1971,45.349,,1003,
125,1972,46.697,,1003,
126,1973,48.046,,1003,
127,1974,49.4,,1003,
128,1975,50.614,,1003,
129,1976,51.829,,1003,
130,1977,53.039,,1003,
131,1978,54.247,,1003,
132,1979,55.402,,1003,
133,1980,56.498,,1003,
134,1981,57.584,,1003,
135,1982,58.664,,1003,
136,1983,59.736,,1003,
137,1984,60.8,,1003,
138,1985,61.833,,1003,
139,1986,62.857,,1003,
140,1987,63.87,,1003,
141,1988,64.872,,1003,
142,1989,65.585,,1003,
143,1990,65.981,1.01097425,1003,1010974.25
144,1991,66.374,0.998352625,1003,998352.625
145,1992,66.766,0.90056725,1003,900567.25
146,1993,67.155,0.830254875,1003,830254.875
147,1994,67.541,0.7339753125,1003,733975.3125
148,1995,67.926,0.65977075,1003,659770.75
149,1996,68.308,0.6805140625,1003,680514.0625
150,1997,68.687,0.76131475,1003,761314.75
151,1998,69.064,0.829199375,1003,829199.375
152,1999,69.482,0.8602970625,1003,860297.0625
153,2000,69.973,0.9129235625,1003,912923.5625
154,2001,70.458,0.9634770625,1003,963477.0625
155,2002,70.939,1.018550438,1003,1018550.438
156,2003,71.415,1.0978565,1003,1097856.5
157,2004,71.887,1.2319835,1003,1231983.5
158,2005,72.354,1.357135125,1003,1357135.125
159,2006,72.816,1.502019625,1003,1502019.625
160,2007,73.273,1.638700875,1003,1638700.875
161,2008,73.726,1.811913375,1003,1811913.375
162,2009,74.172,1.8195475,1003,1819547.5
163,2010,74.615,1.9639065,1003,1963906.5
164,2011,75.046,2.076499625,1003,2076499.625
165,2012,75.467,2.11446075,1003,2114460.75
166,2013,75.877,2.13671,1003,2136710
167,2014,76.277,2.169631,1003,2169631
168,2015,76.667,2.07870625,1003,2078706.25
169,1960,69.061,1.8197005860000002,1004,18197.00586
170,1961,69.668,1.840070117,1004,18400.70117
171,1962,70.494,1.934703906,1004,19347.03906
172,1963,71.307,1.997398633,1004,19973.98633
173,1964,72.107,2.091401367,1004,20914.01367
174,1965,72.892,2.190191211,1004,21901.91211
175,1966,73.642,2.29133125,1004,22913.3125
176,1967,74.155,2.316078906,1004,23160.78906
177,1968,74.662,2.399692383,1004,23996.92383
178,1969,75.161,2.491801563,1004,24918.01563
179,1970,75.654,2.537210156,1004,25372.10156
180,1971,76.09,2.602442773,1004,26024.42773
181,1972,75.971,2.700735742,1004,27007.35742
182,1973,75.851,2.840291992,1004,28402.91992
183,1974,75.731,2.892793945,1004,28927.93945
184,1975,75.611,2.890332617,1004,28903.32617
185,1976,75.503,3.0006595700000003,1004,30006.5957
186,1977,75.543,3.068161328,1004,30681.61328
187,1978,75.583,3.157617188,1004,31576.17188
188,1979,75.623,3.245223438,1004,32452.23438
189,1980,75.663,3.272804883,1004,32728.04883
190,1981,75.712,3.345690234,1004,33456.90234
191,1982,75.874,3.1997519530000003,1004,31997.51953
192,1983,76.035,3.250143164,1004,32501.43164
193,1984,76.195,3.4097742189999996,1004,34097.74219
194,1985,76.354,3.5381574220000003,1004,35381.57422
195,1986,76.502,3.578504688,1004,35785.04688
196,1987,76.522,3.6765515630000003,1004,36765.51563
197,1988,76.542,3.79015,1004,37901.5
198,1989,76.562,3.8096738279999998,1004,38096.73828
199,1990,76.582,3.758988281,1004,37589.88281
200,1991,76.62,3.62936875,1004,36293.6875
201,1992,76.887,3.616748828,1004,36167.48828
202,1993,77.152,3.672373438,1004,36723.73438
203,1994,77.414,3.800680859,1004,38006.80859
204,1995,77.675,3.870266797,1004,38702.66797
205,1996,77.951,3.8904851560000004,1004,38904.85156
206,1997,78.34,4.014333594,1004,40143.33594
207,1998,78.724,4.13421875,1004,41342.1875
208,1999,79.103,4.3118539060000005,1004,43118.53906
209,2000,79.478,4.4954535159999995,1004,44954.53516
210,2001,79.81,4.529105859,1004,45291.05859
211,2002,79.888,4.623764844,1004,46237.64844
212,2003,79.967,4.660437109,1004,46604.37109
213,2004,80.045,4.75635625,1004,47563.5625
214,2005,80.122,4.860469141,1004,48604.69141
215,2006,80.213,4.948390625,1004,49483.90625
216,2007,80.396,5.0017179689999995,1004,50017.17969
217,2008,80.578,4.997378125,1004,49973.78125
218,2009,80.758,4.794768359,1004,47947.68359
219,2010,80.937,4.8878625,1004,48878.625
220,2011,81.115,4.99185625,1004,49918.5625
221,2012,81.293,5.019255859,1004,50192.55859
222,2013,81.472,5.0716234380000005,1004,50716.23438
223,2014,81.65,5.140284375,1004,51402.84375
224,2015,81.828,5.151057813,1004,51510.57813
225,1960,67.836,1.639130375,1005,1639130.375
226,1961,68.66,1.666997375,1005,1666997.375
227,1962,69.435,1.714231875,1005,1714231.875
228,1963,70.2,1.7785865,1005,1778586.5
229,1964,70.955,1.78570375,1005,1785703.75
230,1965,71.696,1.75391325,1005,1753913.25
231,1966,72.427,1.887503875,1005,1887503.875
232,1967,73.146,1.9143645,1005,1914364.5
233,1968,73.854,1.944639125,1005,1944639.125
234,1969,74.547,1.971498875,1005,1971498.875
235,1970,75.227,1.974419625,1005,1974419.625
236,1971,75.883,2.11276375,1005,2112763.75
237,1972,76.528,2.058481375,1005,2058481.375
238,1973,77.159,1.923634,1005,1923634
239,1974,77.778,1.9393655,1005,1939365.5
240,1975,78.386,1.691695875,1005,1691695.875
241,1976,78.982,1.722274625,1005,1722274.625
242,1977,79.565,1.84383125,1005,1843831.25
243,1978,80.136,1.952085125,1005,1952085.125
244,1979,80.695,2.090467625,1005,2090467.625
245,1980,81.243,2.2277795,1005,2227779.5
246,1981,81.778,2.299311,1005,2299311
247,1982,82.226,2.03189025,1005,2031890.25
248,1983,82.359,1.92616125,1005,1926161.25
249,1984,82.492,2.04845225,1005,2048452.25
250,1985,82.624,2.160368,1005,2160368
251,1986,82.755,2.2449995,1005,2244999.5
252,1987,82.885,2.35414525,1005,2354145.25
253,1988,83.014,2.4847375,1005,2484737.5
254,1989,83.143,2.7020905,1005,2702090.5
255,1990,83.271,2.7566475,1005,2756647.5
256,1991,83.398,2.9289115,1005,2928911.5
257,1992,83.564,3.236919,1005,3236919
258,1993,83.896,3.40984325,1005,3409843.25
259,1994,84.223,3.550542,1005,3550542
260,1995,84.545,3.87087625,1005,3870876.25
261,1996,84.861,4.099492,1005,4099492
262,1997,85.172,4.31098,1005,4310980
263,1998,85.477,4.3917205,1005,4391720.5
264,1999,85.778,4.3024835,1005,4302483.5
265,2000,86.073,4.4396345,1005,4439634.5
266,2001,86.363,4.5321075,1005,4532107.5
267,2002,86.648,4.574869,1005,4574869
268,2003,86.922,4.7000355,1005,4700035.5
269,2004,87.187,4.9263865,1005,4926386.5
270,2005,87.443,5.1409995,1005,5140999.5
271,2006,87.689,5.307072,1005,5307072
272,2007,87.926,5.5189315,1005,5518931.5
273,2008,88.155,5.637887,1005,5637887
274,2009,88.375,5.518449,1005,5518449
275,2010,88.586,5.7724805,1005,5772480.5
276,2011,88.79,6.043418,1005,6043418
277,2012,88.986,6.3046275,1005,6304627.5
278,2013,89.175,6.485443,1005,6485443
279,2014,89.356,6.5376465,1005,6537646.5
280,2015,89.53,6.619252,1005,6619252
281,1960,17.679,5.80163875,1006,580163.875
282,1961,18.911,6.1524,1006,615240
283,1962,20.21,5.99740875,1006,599740.875
284,1963,21.575,6.60280875,1006,660280.875
285,1964,23.007,7.459299375,1006,745929.9375
286,1965,24.5,6.936064375,1006,693606.4375
287,1966,25.206,7.42192875,1006,742192.875
288,1967,25.926,7.4399325,1006,743993.25
289,1968,26.659,8.018689375,1006,801868.9375
290,1969,27.404,8.404000625,1006,840400.0625
291,1970,28.163,8.867233125,1006,886723.3125
292,1971,28.934,9.2712475,1006,927124.75
293,1972,29.719,9.2268075,1006,922680.75
294,1973,30.513,9.330379375,1006,933037.9375
295,1974,31.321,9.291978125,1006,929197.8125
296,1975,32.229,9.60440375,1006,960440.375
297,1976,33.594,10.35900438,1006,1035900.438
298,1977,34.983,10.623425,1006,1062342.5
299,1978,36.4,11.2654425,1006,1126544.25
300,1979,36.614,11.03538,1006,1103538
301,1980,36.829,9.40631875,1006,940631.875
302,1981,37.044,9.325395625,1006,932539.5625
303,1982,37.26,8.956675,1006,895667.5
304,1983,37.476,8.25795125,1006,825795.125
305,1984,37.693,7.717556875,1006,771755.6875
306,1985,37.91,7.756153125,1006,775615.3125
307,1986,38.127,7.712748125,1006,771274.8125
308,1987,38.346,7.41054875,1006,741054.875
309,1988,38.608,7.232229375,1006,723222.9375
310,1989,38.976,7.187056875,1006,718705.6875
311,1990,39.345,6.86218875,1006,686218.875
312,1991,39.716,6.6279775,1006,662797.75
313,1992,40.088,6.385779375,1006,638577.9375
314,1993,40.461,6.159716875,1006,615971.6875
315,1994,40.835,6.007609375,1006,600760.9375
316,1995,41.21,6.23439125,1006,623439.125
317,1996,41.587,6.513745,1006,651374.5
318,1997,41.964,6.561355,1006,656135.5
319,1998,42.342,6.695733125,1006,669573.3125
320,1999,42.886,6.63145125,1006,663145.125
321,2000,43.541,6.344835,1006,634483.5
322,2001,44.195,6.221673125,1006,622167.3125
323,2002,44.853,6.00398375,1006,600398.375
324,2003,45.513,5.818710625,1006,581871.0625
325,2004,46.175,5.78749,1006,578749
326,2005,46.836,5.77990625,1006,577990.625
327,2006,47.5,5.75526,1006,575526
328,2007,48.266,5.74016,1006,574016
329,2008,49.034,5.76404875,1006,576404.875
330,2009,49.8,5.823496875,1006,582349.6875
331,2010,50.557,5.809140625,1006,580914.0625
332,2011,51.305,5.42691625,1006,542691.625
333,2012,52.041,5.866034375,1006,586603.4375
334,2013,52.766,6.2339225,1006,623392.25
335,2014,53.479,6.599775,1006,659977.5
336,2015,54.18,7.031751875,1006,703175.1875
337,1960,59.548,,1007,
338,1961,60.063,,1007,
339,1962,60.555,,1007,
340,1963,61.044,,1007,
341,1964,61.532,,1007,
342,1965,62.016,,1007,
343,1966,62.498,,1007,
344,1967,62.978,,1007,
345,1968,63.456,,1007,
346,1969,63.93,,1007,
347,1970,64.402,,1007,
348,1971,65.295,,1007,
349,1972,66.484,,1007,
350,1973,67.649,,1007,
351,1974,68.794,,1007,
352,1975,69.917,,1007,
353,1976,71.018,,1007,
354,1977,72.092,,1007,
355,1978,73.142,,1007,
356,1979,74.167,,1007,
357,1980,75.167,,1007,
358,1981,75.481,,1007,
359,1982,75.452,,1007,
360,1983,75.423,,1007,
361,1984,75.394,,1007,
362,1985,75.365,,1007,
363,1986,75.336,,1007,
364,1987,75.307,,1007,
365,1988,75.278,,1007,
366,1989,75.249,,1007,
367,1990,75.22,2.663864688,1007,266386.4688
368,1991,75.158,2.3601175,1007,236011.75
369,1992,75.03,2.345762969,1007,234576.2969
370,1993,74.901,2.3447764060000003,1007,234477.6406
371,1994,74.772,2.412121719,1007,241212.1719
372,1995,74.643,2.5637610939999997,1007,256376.1094
373,1996,74.513,2.6766753129999996,1007,267667.5313
374,1997,74.382,2.66149375,1007,266149.375
375,1998,74.251,2.6555975,1007,265559.75
376,1999,74.12,2.69654,1007,269654
377,2000,73.988,2.8202303129999997,1007,282023.0313
378,2001,73.877,2.9172303129999997,1007,291723.0313
379,2002,73.809,2.97100125,1007,297100.125
380,2003,73.74,3.078893125,1007,307889.3125
381,2004,73.671,3.2302365629999996,1007,323023.6563
382,2005,73.602,3.4335840629999996,1007,343358.4063
383,2006,73.533,3.659772188,1007,365977.2188
384,2007,73.463,3.839659375,1007,383965.9375
385,2008,73.394,3.9111759379999995,1007,391117.5938
386,2009,73.324,3.70066125,1007,370066.125
387,2010,73.255,3.77458125,1007,377458.125
388,2011,73.185,3.842298125,1007,384229.8125
389,2012,73.115,3.80623625,1007,380623.625
390,2013,73.06,3.786570313,1007,378657.0313
391,2014,73.019,3.8852875,1007,388528.75
392,2015,72.992,4.051550938,1007,405155.0938
393,1960,50.325,,1008,
394,1961,51.448,,1008,
395,1962,52.619,,1008,
396,1963,53.787,,1008,
397,1964,54.952,,1008,
398,1965,56.109,,1008,
399,1966,57.26,,1008,
400,1967,58.404,,1008,
401,1968,59.54,,1008,
402,1969,60.664,,1008,
403,1970,61.777,,1008,
404,1971,62.878,,1008,
405,1972,63.968,,1008,
406,1973,65.04,,1008,
407,1974,66.099,,1008,
408,1975,67.142,,1008,
409,1976,68.17,,1008,
410,1977,69.178,,1008,
411,1978,70.169,,1008,
412,1979,71.141,,1008,
413,1980,72.096,,1008,
414,1981,73.028,,1008,
415,1982,73.942,,1008,
416,1983,74.504,,1008,
417,1984,74.715,,1008,
418,1985,74.925,,1008,
419,1986,75.134,,1008,
420,1987,75.341,,1008,
421,1988,75.548,,1008,
422,1989,75.753,,1008,
423,1990,75.957,1.366319063,1008,136631.9063
424,1991,76.114,1.260064688,1008,126006.4688
425,1992,76.161,1.226921016,1008,122692.1016
426,1993,76.207,1.123907578,1008,112390.7578
427,1994,76.254,1.095104844,1008,109510.4844
428,1995,76.3,1.039001719,1008,103900.1719
429,1996,76.347,0.978296875,1008,97829.6875
430,1997,76.393,0.9533798438,1008,95337.98438
431,1998,76.439,0.9370901562999999,1008,93709.01563
432,1999,76.485,0.9408074219,1008,94080.74219
433,2000,76.532,0.9291513281,1008,92915.13281
434,2001,76.578,0.9332907031,1008,93329.07031
435,2002,76.624,0.9431205469,1008,94312.05469
436,2003,76.67,0.9588971094000001,1008,95889.71094
437,2004,76.716,0.9813382812999999,1008,98133.82813
438,2005,76.761,0.9984450780999999,1008,99844.50781
439,2006,76.807,1.032396563,1008,103239.6563
440,2007,76.853,1.070975078,1008,107097.5078
441,2008,76.899,1.118634375,1008,111863.4375
442,2009,76.944,1.159948125,1008,115994.8125
443,2010,76.996,1.184927344,1008,118492.7344
444,2011,77.053,1.221688672,1008,122168.8672
445,2012,77.117,1.263930547,1008,126393.0547
446,2013,77.186,1.309496016,1008,130949.6016
447,2014,77.262,1.369659375,1008,136965.9375
448,2015,77.343,1.439493281,1008,143949.3281
449,1960,37.864,,1009,
450,1961,38.272,,1009,
451,1962,38.624,,1009,
452,1963,38.977,,1009,
453,1964,39.331,,1009,
454,1965,39.686,5.553772949,1009,5553.772949
455,1966,40.042,5.472781738,1009,5472.781738
456,1967,40.399,5.372036621,1009,5372.036621
457,1968,40.758,5.386183594,1009,5386.183594
458,1969,41.117,5.620291992,1009,5620.291992
459,1970,41.477,5.8035810549999995,1009,5803.581055
460,1971,41.838,5.876245117000001,1009,5876.245117
461,1972,42.2,5.873077637000001,1009,5873.077637
462,1973,42.563,5.79561377,1009,5795.61377
463,1974,42.926,5.818913574,1009,5818.913574
464,1975,43.291,6.206330078,1009,6206.330078
465,1976,43.656,6.960220703,1009,6960.220703
466,1977,43.81,7.678824219,1009,7678.824219
467,1978,43.826,7.936472656,1009,7936.472656
468,1979,43.842,8.21750293,1009,8217.50293
469,1980,43.858,8.821772461,1009,8821.772461
470,1981,43.874,8.927443359000002,1009,8927.443359
471,1982,43.89,9.565688477,1009,9565.688477
472,1983,43.906,10.01097656,1009,10010.97656
473,1984,43.922,10.34361133,1009,10343.61133
474,1985,43.938,10.73343848,1009,10733.43848
475,1986,43.954,10.71912695,1009,10719.12695
476,1987,43.877,10.68890723,1009,10688.90723
477,1988,43.744,10.95240332,1009,10952.40332
478,1989,43.611,11.20072461,1009,11200.72461
479,1990,43.478,11.55358008,1009,11553.58008
480,1991,43.345,11.416570309999999,1009,11416.57031
481,1992,43.212,11.67322559,1009,11673.22559
