Order,Year,PctPopUrban,GDPPerCapRealLCU,Code,RealGDPNorm
1,1960,51.275,,1001,
2,1961,52.147,,1001,
3,1962,53.019,,1001,
4,1963,53.889,,1001,
5,1964,54.758,,1001,
6,1965,55.622,,1001,
7,1966,56.483,,1001,
8,1967,57.341,,1001,
9,1968,58.195,,1001,
10,1969,59.042,,1001,
11,1970,59.864,,1001,
12,1971,60.657,,1001,
13,1972,61.445,,1001,
14,1973,62.225,,1001,
15,1974,63,,1001,
16,1975,63.611,,1001,
17,1976,64.219,,1001,
18,1977,64.821,,1001,
19,1978,65.419,,1001,
20,1979,65.839,,1001,
21,1980,66.05,,1001,
22,1981,66.259,,1001,
23,1982,66.467,,1001,
24,1983,66.675,,1001,
25,1984,66.883,,1001,
26,1985,67.09,,1001,
27,1986,67.296,,1001,
28,1987,67.501,,1001,
29,1988,67.706,,1001,
30,1989,67.69,,1001,
31,1990,67.421,333663.75,1001,47.24399415
32,1991,67.15,297375.3438,1001,42.10585957
33,1992,66.878,176204.0156,1001,24.94901374
34,1993,66.606,164504.8281,1001,23.29250671
35,1994,66.332,177590.0625,1001,25.14526638
36,1995,66.057,193776.5,1001,27.43713044
37,1996,65.781,208358.1719,1001,29.50177313
38,1997,65.504,217732.3438,1001,30.8290774
39,1998,65.226,235480.0781,1001,33.34200803
40,1999,64.947,244755.6406,1001,34.65535004
41,2000,64.666,260689.5,1001,36.91145116
42,2001,64.385,287101.7813,1001,40.65120911
43,2002,64.283,326323.5,1001,46.20467619
44,2003,64.25,373469.0938,1001,52.88009764
45,2004,64.217,413986.375,1001,58.61700553
46,2005,64.184,473118.5625,1001,66.98962832
47,2006,64.15,537836.3125,1001,76.15312002
48,2007,64.117,614659.875,1001,87.03069344
49,2008,63.997,659962.0625,1001,93.445104
50,2009,63.789,568281.5625,1001,80.46391259
51,2010,63.58,581295.6875,1001,82.30660375
52,2011,63.371,607696.25,1001,86.04470242
53,2012,63.161,649185.4375,1001,91.9192241
54,2013,62.975,667503.8125,1001,94.51295267
55,2014,62.812,688322.1875,1001,97.46066031
56,2015,62.673,706256.4375,1001,100
57,1960,81.529,24033.33398,1002,35.27870513
58,1961,81.941,24143.18359,1002,35.43995416
59,1962,82.337,23873.85938,1002,35.04461119
60,1963,82.727,24875.3418,1002,36.5146945
61,1964,83.11,26093.58008,1002,38.3029553
62,1965,83.485,27117.31641,1002,39.80570527
63,1966,83.855,27132.0918,1002,39.82739418
64,1967,84.217,28478.85352,1002,41.80431546
65,1968,84.573,29405.86133,1002,43.16507695
66,1969,84.922,30826.87695,1002,45.25099608
67,1970,85.265,32391.70117,1002,47.5480129
68,1971,85.6,32570.5332,1002,47.81052173
69,1972,85.681,33227.89844,1002,48.77547292
70,1973,85.761,33574.14063,1002,49.28372434
71,1974,85.841,34076.07813,1002,50.02052203
72,1975,85.921,34109.55078,1002,50.06965679
73,1976,86,34643.76953,1002,50.85384036
74,1977,85.94,35491.33203,1002,52.0979835
75,1978,85.881,35395.66797,1002,51.95755753
76,1979,85.821,36434.33984,1002,53.4822315
77,1980,85.76,37091.20703,1002,54.4464516
78,1981,85.7,37733.23438,1002,55.38888819
79,1982,85.64,38341.74609,1002,56.28212696
80,1983,85.58,37020.625,1002,54.34284373
81,1984,85.52,38297.54297,1002,56.21724087
82,1985,85.46,39760.56641,1002,58.36482358
83,1986,85.4,40718.48438,1002,59.7709583
84,1987,85.4,41136.32031,1002,60.3843027
85,1988,85.4,42803.37891,1002,62.8313901
86,1989,85.4,43717.34766,1002,64.17301145
87,1990,85.4,44595.28516,1002,65.46174227
88,1991,85.4,43863.22656,1002,64.38714815
89,1992,85.566,43507.11719,1002,63.86441262
90,1993,85.748,44832.79688,1002,65.81038744
91,1994,85.928,46152.00391,1002,67.746861
92,1995,86.106,47366.58984,1002,69.5297605
93,1996,86.283,48594.50781,1002,71.33223019
94,1997,86.504,49950.74609,1002,73.32306219
95,1998,86.727,51626.79688,1002,75.78334928
96,1999,86.947,53595.95313,1002,78.67388801
97,2000,87.165,55009.60547,1002,80.74899853
98,2001,87.378,55319.99219,1002,81.20461744
99,2002,87.541,56756.51563,1002,83.3133006
100,2003,87.695,57781.94922,1002,84.81854201
101,2004,87.849,59485.875,1002,87.31974701
102,2005,88,60588.43359,1002,88.93820076
103,2006,88.15,61481.98438,1002,90.24985043
104,2007,88.298,63395.01563,1002,93.05800286
105,2008,88.445,64440.44922,1002,94.59260241
106,2009,88.59,64274.58594,1002,94.3491305
107,2010,88.733,64559.69141,1002,94.76763888
108,2011,88.875,65183.85938,1002,95.68385957
109,2012,89.015,66397.92969,1002,97.46600218
110,2013,89.153,66873.22656,1002,98.16369391
111,2014,89.289,67532.05469,1002,99.13079249
112,2015,89.423,68124.19531,1002,100
113,1960,32.401,,1003,
114,1961,33.522,,1003,
115,1962,34.663,,1003,
116,1963,35.822,,1003,
117,1964,37,,1003,
118,1965,38.127,,1003,
119,1966,39.269,,1003,
120,1967,40.422,,1003,
121,1968,41.588,,1003,
122,1969,42.76,,1003,
123,1970,44.01,,1003,
124,1971,45.349,,1003,
125,1972,46.697,,1003,
126,1973,48.046,,1003,
127,1974,49.4,,1003,
128,1975,50.614,,1003,
129,1976,51.829,,1003,
130,1977,53.039,,1003,
131,1978,54.247,,1003,
132,1979,55.402,,1003,
133,1980,56.498,,1003,
134,1981,57.584,,1003,
135,1982,58.664,,1003,
136,1983,59.736,,1003,
137,1984,60.8,,1003,
138,1985,61.833,,1003,
139,1986,62.857,,1003,
140,1987,63.87,,1003,
141,1988,64.872,,1003,
142,1989,65.585,,1003,
143,1990,65.981,1010974.25,1003,48.63478185
144,1991,66.374,998352.625,1003,48.02759529
145,1992,66.766,900567.25,1003,43.32344938
146,1993,67.155,830254.875,1003,39.94094283
147,1994,67.541,733975.3125,1003,35.30923681
148,1995,67.926,659770.75,1003,31.73948941
149,1996,68.308,680514.0625,1003,32.73738473
150,1997,68.687,761314.75,1003,36.62445091
151,1998,69.064,829199.375,1003,39.89016606
152,1999,69.482,860297.0625,1003,41.3861777
153,2000,69.973,912923.5625,1003,43.9178726
154,2001,70.458,963477.0625,1003,46.349842
155,2002,70.939,1018550.438,1003,48.99924833
156,2003,71.415,1097856.5,1003,52.81441281
157,2004,71.887,1231983.5,1003,59.26683965
158,2005,72.354,1357135.125,1003,65.28748951
159,2006,72.816,1502019.625,1003,72.25742574
160,2007,73.273,1638700.875,1003,78.83272949
161,2008,73.726,1811913.375,1003,87.16543643
162,2009,74.172,1819547.5,1003,87.5326901
163,2010,74.615,1963906.5,1003,94.47734619
164,2011,75.046,2076499.625,1003,99.89384623
165,2012,75.467,2114460.75,1003,101.7200362
166,2013,75.877,2136710,1003,102.7903774
167,2014,76.277,2169631,1003,104.3741029
168,2015,76.667,2078706.25,1003,100
169,1960,69.061,18197.00586,1004,35.32673583
170,1961,69.668,18400.70117,1004,35.72217949
171,1962,70.494,19347.03906,1004,37.55935143
172,1963,71.307,19973.98633,1004,38.77647477
173,1964,72.107,20914.01367,1004,40.60139574
174,1965,72.892,21901.91211,1004,42.5192512
175,1966,73.642,22913.3125,1004,44.48273216
176,1967,74.155,23160.78906,1004,44.96317049
177,1968,74.662,23996.92383,1004,46.58639973
178,1969,75.161,24918.01563,1004,48.3745602
179,1970,75.654,25372.10156,1004,49.2560994
180,1971,76.09,26024.42773,1004,50.52249204
181,1972,75.971,27007.35742,1004,52.43070143
182,1973,75.851,28402.91992,1004,55.13997504
183,1974,75.731,28927.93945,1004,56.15922109
184,1975,75.611,28903.32617,1004,56.11143812
185,1976,75.503,30006.5957,1004,58.25326913
186,1977,75.543,30681.61328,1004,59.5637137
187,1978,75.583,31576.17188,1004,61.30036397
188,1979,75.623,32452.23438,1004,63.00110687
189,1980,75.663,32728.04883,1004,63.53655893
190,1981,75.712,33456.90234,1004,64.95151785
191,1982,75.874,31997.51953,1004,62.11834675
192,1983,76.035,32501.43164,1004,63.09661593
193,1984,76.195,34097.74219,1004,66.19561152
194,1985,76.354,35381.57422,1004,68.68797732
195,1986,76.502,35785.04688,1004,69.47125848
196,1987,76.522,36765.51563,1004,71.37469033
197,1988,76.542,37901.5,1004,73.58003226
198,1989,76.562,38096.73828,1004,73.95905786
199,1990,76.582,37589.88281,1004,72.9750746
200,1991,76.62,36293.6875,1004,70.45870736
201,1992,76.887,36167.48828,1004,70.21371065
202,1993,77.152,36723.73438,1004,71.29357835
203,1994,77.414,38006.80859,1004,73.78447297
204,1995,77.675,38702.66797,1004,75.13537875
205,1996,77.951,38904.85156,1004,75.52788763
206,1997,78.34,40143.33594,1004,77.93221781
207,1998,78.724,41342.1875,1004,80.25960687
208,1999,79.103,43118.53906,1004,83.70812488
209,2000,79.478,44954.53516,1004,87.27243373
210,2001,79.81,45291.05859,1004,87.9257431
211,2002,79.888,46237.64844,1004,89.76340418
212,2003,79.967,46604.37109,1004,90.47534077
213,2004,80.045,47563.5625,1004,92.33746588
214,2005,80.122,48604.69141,1004,94.35866025
215,2006,80.213,49483.90625,1004,96.06552295
216,2007,80.396,50017.17969,1004,97.10079271
217,2008,80.578,49973.78125,1004,97.0165412
218,2009,80.758,47947.68359,1004,93.08317891
219,2010,80.937,48878.625,1004,94.89046091
220,2011,81.115,49918.5625,1004,96.90934235
221,2012,81.293,50192.55859,1004,97.44126434
222,2013,81.472,50716.23438,1004,98.4579017
223,2014,81.65,51402.84375,1004,99.79085
224,2015,81.828,51510.57813,1004,100
225,1960,67.836,1639130.375,1005,24.76307557
226,1961,68.66,1666997.375,1005,25.1840748
227,1962,69.435,1714231.875,1005,25.89766752
228,1963,70.2,1778586.5,1005,26.86990161
229,1964,70.955,1785703.75,1005,26.97742509
230,1965,71.696,1753913.25,1005,26.49715179
231,1966,72.427,1887503.875,1005,28.5153651
232,1967,73.146,1914364.5,1005,28.92116058
233,1968,73.854,1944639.125,1005,29.37853288
234,1969,74.547,1971498.875,1005,29.78431513
235,1970,75.227,1974419.625,1005,29.82844021
236,1971,75.883,2112763.75,1005,31.91846677
237,1972,76.528,2058481.375,1005,31.09839866
238,1973,77.159,1923634,1005,29.06119906
239,1974,77.778,1939365.5,1005,29.29886187
240,1975,78.386,1691695.875,1005,25.55720609
241,1976,78.982,1722274.625,1005,26.01917294
242,1977,79.565,1843831.25,1005,27.85558323
243,1978,80.136,1952085.125,1005,29.49102293
244,1979,80.695,2090467.625,1005,31.58162924
245,1980,81.243,2227779.5,1005,33.65606114
246,1981,81.778,2299311,1005,34.7367195
247,1982,82.226,2031890.25,1005,30.69667464
248,1983,82.359,1926161.25,1005,29.09937936
249,1984,82.492,2048452.25,1005,30.94688418
250,1985,82.624,2160368,1005,32.63764546
251,1986,82.755,2244999.5,1005,33.91621138
252,1987,82.885,2354145.25,1005,35.56512503
253,1988,83.014,2484737.5,1005,37.53804055
254,1989,83.143,2702090.5,1005,40.82168952
255,1990,83.271,2756647.5,1005,41.64590652
256,1991,83.398,2928911.5,1005,44.2483758
257,1992,83.564,3236919,1005,48.90158284
258,1993,83.896,3409843.25,1005,51.51402681
259,1994,84.223,3550542,1005,53.63962575
260,1995,84.545,3870876.25,1005,58.47905851
261,1996,84.861,4099492,1005,61.93285888
262,1997,85.172,4310980,1005,65.12790267
263,1998,85.477,4391720.5,1005,66.34768551
264,1999,85.778,4302483.5,1005,64.99954224
265,2000,86.073,4439634.5,1005,67.07154373
266,2001,86.363,4532107.5,1005,68.4685747
267,2002,86.648,4574869,1005,69.1145918
268,2003,86.922,4700035.5,1005,71.00553809
269,2004,87.187,4926386.5,1005,74.42512387
270,2005,87.443,5140999.5,1005,77.66737843
271,2006,87.689,5307072,1005,80.17630995
272,2007,87.926,5518931.5,1005,83.37696616
273,2008,88.155,5637887,1005,85.17408009
274,2009,88.375,5518449,1005,83.36967682
275,2010,88.586,5772480.5,1005,87.20744429
276,2011,88.79,6043418,1005,91.30061826
277,2012,88.986,6304627.5,1005,95.24682698
278,2013,89.175,6485443,1005,97.9784876
279,2014,89.356,6537646.5,1005,98.76714922
280,2015,89.53,6619252,1005,100
281,1960,17.679,580163.875,1006,82.50630644
282,1961,18.911,615240,1006,87.49455483
283,1962,20.21,599740.875,1006,85.29039216
284,1963,21.575,660280.875,1006,93.89991097
285,1964,23.007,745929.9375,1006,106.0802416
286,1965,24.5,693606.4375,1006,98.63920824
287,1966,25.206,742192.875,1006,105.5487862
288,1967,25.926,743993.25,1006,105.8048212
289,1968,26.659,801868.9375,1006,114.0354426
290,1969,27.404,840400.0625,1006,119.5150337
291,1970,28.163,886723.3125,1006,126.1027591
292,1971,28.934,927124.75,1006,131.8483312
293,1972,29.719,922680.75,1006,131.2163407
294,1973,30.513,933037.9375,1006,132.6892578
295,1974,31.321,929197.8125,1006,132.1431457
296,1975,32.229,960440.375,1006,136.5862152
297,1976,33.594,1035900.438,1006,147.317547
298,1977,34.983,1062342.5,1006,151.0779275
299,1978,36.4,1126544.25,1006,160.2081914
300,1979,36.614,1103538,1006,156.9364249
301,1980,36.829,940631.875,1006,133.7692074
302,1981,37.044,932539.5625,1006,132.6183829
303,1982,37.26,895667.5,1006,127.3747305
304,1983,37.476,825795.125,1006,117.4380353
305,1984,37.693,771755.6875,1006,109.752975
306,1985,37.91,775615.3125,1006,110.3018602
307,1986,38.127,771274.8125,1006,109.6845887
308,1987,38.346,741054.875,1006,105.3869488
309,1988,38.608,723222.9375,1006,102.8510321
310,1989,38.976,718705.6875,1006,102.2086246
311,1990,39.345,686218.875,1006,97.58860768
312,1991,39.716,662797.75,1006,94.25784097
313,1992,40.088,638577.9375,1006,90.81349127
314,1993,40.461,615971.6875,1006,87.59860963
315,1994,40.835,600760.9375,1006,85.43545736
316,1995,41.21,623439.125,1006,88.66056938
317,1996,41.587,651374.5,1006,92.63331693
318,1997,41.964,656135.5,1006,93.3103886
319,1998,42.342,669573.3125,1006,95.22140775
320,1999,42.886,663145.125,1006,94.30724189
321,2000,43.541,634483.5,1006,90.23121283
322,2001,44.195,622167.3125,1006,88.47970229
323,2002,44.853,600398.375,1006,85.3838966
324,2003,45.513,581871.0625,1006,82.74908911
325,2004,46.175,578749,1006,82.30509413
326,2005,46.836,577990.625,1006,82.19724405
327,2006,47.5,575526,1006,81.84674463
328,2007,48.266,574016,1006,81.6320044
329,2008,49.034,576404.875,1006,81.97173126
330,2009,49.8,582349.6875,1006,82.81715536
331,2010,50.557,580914.0625,1006,82.61299216
332,2011,51.305,542691.625,1006,77.17730014
333,2012,52.041,586603.4375,1006,83.42208996
334,2013,52.766,623392.25,1006,88.65390319
335,2014,53.479,659977.5,1006,93.85676738
336,2015,54.18,703175.1875,1006,100
337,1960,59.548,,1007,
338,1961,60.063,,1007,
339,1962,60.555,,1007,
340,1963,61.044,,1007,
341,1964,61.532,,1007,
342,1965,62.016,,1007,
343,1966,62.498,,1007,
344,1967,62.978,,1007,
345,1968,63.456,,1007,
346,1969,63.93,,1007,
347,1970,64.402,,1007,
348,1971,65.295,,1007,
349,1972,66.484,,1007,
350,1973,67.649,,1007,
351,1974,68.794,,1007,
352,1975,69.917,,1007,
353,1976,71.018,,1007,
354,1977,72.092,,1007,
355,1978,73.142,,1007,
356,1979,74.167,,1007,
357,1980,75.167,,1007,
358,1981,75.481,,1007,
359,1982,75.452,,1007,
360,1983,75.423,,1007,
361,1984,75.394,,1007,
362,1985,75.365,,1007,
363,1986,75.336,,1007,
364,1987,75.307,,1007,
365,1988,75.278,,1007,
366,1989,75.249,,1007,
367,1990,75.22,266386.4688,1007,65.74925821
368,1991,75.158,236011.75,1007,58.25219864
369,1992,75.03,234576.2969,1007,57.89790144
370,1993,74.901,234477.6406,1007,57.8735512
371,1994,74.772,241212.1719,1007,59.53576188
372,1995,74.643,256376.1094,1007,63.27851071
373,1996,74.513,267667.5313,1007,66.06544886
374,1997,74.382,266149.375,1007,65.69073896
375,1998,74.251,265559.75,1007,65.54520827
376,1999,74.12,269654,1007,66.55574721
377,2000,73.988,282023.0313,1007,69.60865989
378,2001,73.877,291723.0313,1007,72.00280479
379,2002,73.809,297100.125,1007,73.32997402
380,2003,73.74,307889.3125,1007,75.99295116
381,2004,73.671,323023.6563,1007,79.72839568
382,2005,73.602,343358.4063,1007,84.74739959
383,2006,73.533,365977.2188,1007,90.33015366
384,2007,73.463,383965.9375,1007,94.77011234
385,2008,73.394,391117.5938,1007,96.53527742
386,2009,73.324,370066.125,1007,91.33937366
387,2010,73.255,377458.125,1007,93.16386017
388,2011,73.185,384229.8125,1007,94.83524172
389,2012,73.115,380623.625,1007,93.94516591
390,2013,73.06,378657.0313,1007,93.45977308
391,2014,73.019,388528.75,1007,95.89630144
392,2015,72.992,405155.0938,1007,100
393,1960,50.325,,1008,
394,1961,51.448,,1008,
395,1962,52.619,,1008,
396,1963,53.787,,1008,
397,1964,54.952,,1008,
398,1965,56.109,,1008,
399,1966,57.26,,1008,
400,1967,58.404,,1008,
401,1968,59.54,,1008,
402,1969,60.664,,1008,
403,1970,61.777,,1008,
404,1971,62.878,,1008,
405,1972,63.968,,1008,
406,1973,65.04,,1008,
407,1974,66.099,,1008,
408,1975,67.142,,1008,
409,1976,68.17,,1008,
410,1977,69.178,,1008,
411,1978,70.169,,1008,
412,1979,71.141,,1008,
413,1980,72.096,,1008,
414,1981,73.028,,1008,
415,1982,73.942,,1008,
416,1983,74.504,,1008,
417,1984,74.715,,1008,
418,1985,74.925,,1008,
419,1986,75.134,,1008,
420,1987,75.341,,1008,
421,1988,75.548,,1008,
422,1989,75.753,,1008,
423,1990,75.957,136631.9063,1008,94.91666827
424,1991,76.114,126006.4688,1008,87.53529481
425,1992,76.161,122692.1016,1008,85.23284072
426,1993,76.207,112390.7578,1008,78.07661159
427,1994,76.254,109510.4844,1008,76.07571762
428,1995,76.3,103900.1719,1008,72.17829581
429,1996,76.347,97829.6875,1008,67.96119772
430,1997,76.393,95337.98438,1008,66.23023922
431,1998,76.439,93709.01563,1008,65.09861272
432,1999,76.485,94080.74219,1008,65.35684703
433,2000,76.532,92915.13281,1008,64.54711114
434,2001,76.578,93329.07031,1008,64.83466893
435,2002,76.624,94312.05469,1008,65.51753726
436,2003,76.67,95889.71094,1008,66.61351754
437,2004,76.716,98133.82813,1008,68.17248083
438,2005,76.761,99844.50781,1008,69.36087102
439,2006,76.807,103239.6563,1008,71.71944294
440,2007,76.853,107097.5078,1008,74.39944959
441,2008,76.899,111863.4375,1008,77.71028803
442,2009,76.944,115994.8125,1008,80.58030837
443,2010,76.996,118492.7344,1008,82.31558696
444,2011,77.053,122168.8672,1008,84.86935561
445,2012,77.117,126393.0547,1008,87.80385177
446,2013,77.186,130949.6016,1008,90.96923429
447,2014,77.262,136965.9375,1008,95.14871607
448,2015,77.343,143949.3281,1008,100
449,1960,37.864,,1009,
450,1961,38.272,,1009,
451,1962,38.624,,1009,
452,1963,38.977,,1009,
453,1964,39.331,,1009,
454,1965,39.686,5553.772949,1009,28.20555505
455,1966,40.042,5472.781738,1009,27.7942307
456,1967,40.399,5372.036621,1009,27.28258357
457,1968,40.758,5386.183594,1009,27.35443081
458,1969,41.117,5620.291992,1009,28.54338062
459,1970,41.477,5803.581055,1009,29.47423786
460,1971,41.838,5876.245117,1009,29.84327171
461,1972,42.2,5873.077637,1009,29.82718525
462,1973,42.563,5795.61377,1009,29.43377497
463,1974,42.926,5818.913574,1009,29.55210604
464,1975,43.291,6206.330078,1009,31.51965092
465,1976,43.656,6960.220703,1009,35.34838208
466,1977,43.81,7678.824219,1009,38.99790308
467,1978,43.826,7936.472656,1009,40.30640403
468,1979,43.842,8217.50293,1009,41.73365267
469,1980,43.858,8821.772461,1009,44.80251372
470,1981,43.874,8927.443359,1009,45.33917706
471,1982,43.89,9565.688477,1009,48.58058753
472,1983,43.906,10010.97656,1009,50.84204074
473,1984,43.922,10343.61133,1009,52.53136946
474,1985,43.938,10733.43848,1009,54.51115711
475,1986,43.954,10719.12695,1009,54.43847419
476,1987,43.877,10688.90723,1009,54.28499939
477,1988,43.744,10952.40332,1009,55.62319843
478,1989,43.611,11200.72461,1009,56.88433025
479,1990,43.478,11553.58008,1009,58.67635243
480,1991,43.345,11416.57031,1009,57.9805306
481,1992,43.212,11673.22559,1009,59.28398764
482,1993,43.079,11774.76465,1009,59.79966691
483,1994,42.946,12009.92871,1009,60.99397805
484,1995,42.814,12333.64941,1009,62.63803556
485,1996,42.681,12712.52637,1009,64.56221123
486,1997,42.658,13170.57324,1009,66.88846159
487,1998,42.704,13459.40137,1009,68.35531262
